602 articles
+---------------------------------------+-------------+--------+---------------+---------------+
| Titlu                                 |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
+---------------------------------------+-------------+--------+---------------+---------------+
| Când eşti trimes... - 1               | Traian Dorz | poezie |       33      |      165      |
| Cântările Căinţei                     | Traian Dorz | poezie |       31      |      130      |
| Ce DA Ţi-am spus                      | Traian Dorz | poezie |       26      |      100      |
| Când simt cu-adevărat                 | Traian Dorz | poezie |       26      |      126      |
| Doamne-ajută-mi să pot                | Traian Dorz | poezie |       29      |      110      |
| Iată ceasul pocăinţei                 | Traian Dorz | poezie |       20      |      121      |
| Două Mâini...                         | Traian Dorz | poezie |       25      |      127      |
| O, cum să uit Isuse ce legăminte?     | Traian Dorz | poezie |       24      |      155      |
| Numai Tu-mi poţi şterge               | Traian Dorz | poezie |       26      |      115      |
| Pleacă-mi ochii                       | Traian Dorz | poezie |       26      |       70      |
| Doamne, doar Tu ştii                  | Traian Dorz | poezie |       31      |      117      |
| Scapă-mi suflet                       | Traian Dorz | poezie |       26      |       86      |
| Nu-ţi da inima                        | Traian Dorz | poezie |       29      |       89      |
| O, cerul fără margini                 | Traian Dorz | poezie |       26      |       90      |
| Ce mult dorisem                       | Traian Dorz | poezie |       29      |       95      |
| Mai poţi să crezi Isuse?              | Traian Dorz | poezie |       24      |      165      |
| Ai uitat!                             | Traian Dorz | poezie |       26      |      116      |
| Doamne, iartă-mi                      | Traian Dorz | poezie |       26      |      117      |
| Mi s-a părut uşor Isuse               | Traian Dorz | poezie |       21      |      174      |
| Nu-mi pot ierta Isuse!                | Traian Dorz | poezie |       26      |       86      |
| Cum am putut?                         | Traian Dorz | poezie |       31      |      108      |
| Iubirea mea Isuse era                 | Traian Dorz | poezie |       19      |      127      |
| Ţine-mi ochii Doamne                  | Traian Dorz | poezie |       26      |      132      |
| Cine-şi pierde...                     | Traian Dorz | poezie |       31      |      109      |
| Dacă mi-am călcat                     | Traian Dorz | poezie |       32      |      117      |
| De-aş afla odată                      | Traian Dorz | poezie |       31      |      108      |
| Nu mai sunt comori                    | Traian Dorz | poezie |       29      |       90      |
| Doamne, starea asta                   | Traian Dorz | poezie |       24      |      164      |
| Unde să-mi mai aflu?                  | Traian Dorz | poezie |       31      |      132      |
| Cine nu mai este-n stare              | Traian Dorz | poezie |       33      |      133      |
| De câte ori gândesc                   | Traian Dorz | poezie |       29      |      132      |
| Dulce Doamne, cât Te doare            | Traian Dorz | poezie |       26      |      102      |
| Ce greu mai poţi să crezi             | Traian Dorz | poezie |       26      |      122      |
| Ce greu mai pot să-Ţi spun            | Traian Dorz | poezie |       26      |      123      |
| Doamne, ştiu...                       | Traian Dorz | poezie |       29      |      174      |
| Păstrează-mi sufletul                 | Traian Dorz | poezie |       29      |      110      |
| Înstrăinaţi din nou                   | Traian Dorz | poezie |       29      |      115      |
| Sângele Tău...                        | Traian Dorz | poezie |       29      |      114      |
| Doamne, eu m-am vrut                  | Traian Dorz | poezie |       31      |      121      |
| De ce te rod?                         | Traian Dorz | poezie |       30      |      175      |
| Doamne, cum am îndrăznit?             | Traian Dorz | poezie |       26      |      106      |
| Când ne-ai născut                     | Traian Dorz | poezie |       24      |      167      |
| Isuse Doamne, nu-mi lua               | Traian Dorz | poezie |       31      |      133      |
| Dumnezeule-al Iubirii                 | Traian Dorz | poezie |       26      |      118      |
| Nu-mi depărta Isuse                   | Traian Dorz | poezie |       19      |      116      |
| Ce cununie strălucită                 | Traian Dorz | poezie |       26      |      119      |
| Doamne, nu acesta-i                   | Traian Dorz | poezie |       26      |      104      |
| Ce greu - şi ce uşor                  | Traian Dorz | poezie |       29      |      144      |
| Doamne, după-atâta vreme              | Traian Dorz | poezie |       26      |       92      |
| De unde vii?                          | Traian Dorz | poezie |       24      |      160      |
| Să nu-mi uit datoria                  | Traian Dorz | poezie |       26      |       95      |
| Să nu treci peste NU!                 | Traian Dorz | poezie |       29      |      136      |
| Mai sus doresc                        | Traian Dorz | poezie |       26      |       97      |
| Stă harfa mută                        | Traian Dorz | poezie |       19      |      109      |
| Nu-mi coborî!                         | Traian Dorz | poezie |       26      |       82      |
| Dă-mi Doamne iarăşi                   | Traian Dorz | poezie |       24      |      155      |
| Încă puţin mai lasă-mi                | Traian Dorz | poezie |       31      |      113      |
| Tot mai ne-nţeles                     | Traian Dorz | poezie |       26      |      121      |
| Spre Tine-mi nalţ                     | Traian Dorz | poezie |       31      |      107      |
| Dragostea care nu doare               | Traian Dorz | poezie |       29      |      109      |
| Noi preamărim                         | Traian Dorz | poezie |       19      |      106      |
| În clipa cea din urmă                 | Traian Dorz | poezie |       24      |      169      |
| O, să mai am                          | Traian Dorz | poezie |       31      |      118      |
| Cred în Lumina Ta                     | Traian Dorz | poezie |       31      |      114      |
| Vreau Viaţa Ta                        | Traian Dorz | poezie |       29      |      113      |
| Nădejdea-ntotdeauna                   | Traian Dorz | poezie |       19      |       95      |
| Te vreau adânc...                     | Traian Dorz | poezie |       31      |      108      |
| Pe urma Ta...                         | Traian Dorz | poezie |       31      |      133      |
| Nu pot şi nu mai pot                  | Traian Dorz | poezie |       29      |      146      |
| Când iarăşi plâng                     | Traian Dorz | poezie |       26      |      143      |
| Ce preţ amar                          | Traian Dorz | poezie |       29      |      129      |
| Ce loc străin...                      | Traian Dorz | poezie |       25      |      148      |
| Ce singur sunt!...                    | Traian Dorz | poezie |       31      |      131      |
| Doamne, cum să pot?                   | Traian Dorz | poezie |       32      |      125      |
| Te-ai despărţit de Mine               | Traian Dorz | poezie |       31      |      105      |
| Dezleagă-mă Isuse                     | Traian Dorz | poezie |       19      |      109      |
| De ce m-am dat?...                    | Traian Dorz | poezie |       32      |      139      |
| Mai scumpă-mi pari                    | Traian Dorz | poezie |       19      |      132      |
| Pe drumul tău                         | Traian Dorz | poezie |       31      |      104      |
| Ce mult te-aştept                     | Traian Dorz | poezie |       32      |      176      |
| Cerurile-Ţi cântă                     | Traian Dorz | poezie |       20      |      120      |
| Să nu-ţi uiţi legământul!...          | Traian Dorz | poezie |       24      |      158      |
| Veniţi să cântăm!                     | Traian Dorz | poezie |       31      |      100      |
| O, nu-i uşor!...                      | Traian Dorz | poezie |       24      |      143      |
| Fii slăvit Isuse                      | Traian Dorz | poezie |       31      |      102      |
| Atâţia ani...                         | Traian Dorz | poezie |       31      |      117      |
| Dacă ţi-ai frânt zborul               | Traian Dorz | poezie |       21      |      125      |
| M-am obişnuit cu Tine                 | Traian Dorz | poezie |       29      |      107      |
| De câte ori Te văd                    | Traian Dorz | poezie |       27      |      116      |
| Când s-a născut?                      | Traian Dorz | poezie |       17      |      103      |
| De ce-i aşa de greu?                  | Traian Dorz | poezie |       27      |      120      |
| Ce departe eşti                       | Traian Dorz | poezie |       26      |       93      |
| De ce nu pot uita?                    | Traian Dorz | poezie |       27      |      135      |
| Lumina Ta desăvârşită                 | Traian Dorz | poezie |       30      |      132      |
| Ce să pot pune?                       | Traian Dorz | poezie |       29      |      129      |
| Câte cântări                          | Traian Dorz | poezie |       26      |      109      |
| Ce fac, de nu mă ierţi?               | Traian Dorz | poezie |       29      |      154      |
| Ce iarnă grea!...                     | Traian Dorz | poezie |       25      |      160      |
| Să nu-mi uit legământul               | Traian Dorz | poezie |       29      |      119      |
| Credinţa mea Isuse                    | Traian Dorz | poezie |       23      |      159      |
| Vai, cât de singur                    | Traian Dorz | poezie |       29      |      134      |
| E timp sortit                         | Traian Dorz | poezie |       27      |      210      |
| Fie-ţi gândul                         | Traian Dorz | poezie |       19      |      133      |
| Ce repede trec toate                  | Traian Dorz | poezie |       24      |      144      |
| Îmi binecuvântez urmaşul              | Traian Dorz | poezie |       26      |      107      |
| Doamne-n ceasul...                    | Traian Dorz | poezie |       38      |      123      |
| Vindecă-mi sufletul                   | Traian Dorz | poezie |       30      |      104      |
| Ca o mare furtunoasă...               | Traian Dorz | poezie |       21      |      113      |
| Pe dragii noştri miri                 | Traian Dorz | poezie |       24      |      108      |
| Pe dragii noştri tineri               | Traian Dorz | poezie |       24      |      137      |
| Cu bucurie noi însoţim                | Traian Dorz | poezie |       24      |       97      |
| Ne vom semăna                         | Traian Dorz | poezie |       24      |      161      |
| Nu se mai întoarce                    | Traian Dorz | poezie |       24      |      150      |
| O, milele Tale                        | Traian Dorz | poezie |       25      |      127      |
| O, apără-ţi steagul!                  | Traian Dorz | poezie |       29      |      161      |
| Din Adevăr şi din Iubire              | Traian Dorz | poezie |       29      |      125      |
| Dacă-ntrebi                           | Traian Dorz | poezie |       27      |      164      |
| Când anii trec                        | Traian Dorz | poezie |       25      |      145      |
| O, fericit biruitor                   | Traian Dorz | poezie |       35      |      148      |
| Degeaba pleci acuma                   | Traian Dorz | poezie |       25      |      149      |
| Am fost un ceas                       | Traian Dorz | poezie |       14      |       88      |
| Fără lacrimi nu-i cântare             | Traian Dorz | poezie |       24      |      144      |
| Vine-ncet amurgul                     | Traian Dorz | poezie |       29      |       94      |
| Să nu-mi uit niciodată                | Traian Dorz | poezie |       24      |      162      |
| Să Se bucure de tine                  | Traian Dorz | poezie |       26      |      104      |
| Când trebuie o jertfă                 | Traian Dorz | poezie |       29      |      192      |
| Şi Duhul şi Mireasa                   | Traian Dorz | poezie |       19      |      134      |
| Doreşte-ţi călăuză                    | Traian Dorz | poezie |       19      |      119      |
| Iubite suflet dulce                   | Traian Dorz | poezie |       44      |      132      |
| Iubeşte-ţi crucea ta                  | Traian Dorz | poezie |       29      |      129      |
| Când eşti trimes... - 2               | Traian Dorz | poezie |       28      |      239      |
| În zadar străluce luna                | Traian Dorz | poezie |       19      |      149      |
| Cum trec de iute toate                | Traian Dorz | poezie |       26      |      111      |
| Ce mult se-ndreptăţeşte               | Traian Dorz | poezie |       24      |      216      |
| Dacă înc-o dată                       | Traian Dorz | poezie |       24      |      128      |
| Să te laude oricine                   | Traian Dorz | poezie |       26      |       95      |
| Nu Te dor Isuse                       | Traian Dorz | poezie |       24      |      130      |
| Veniţi în Ziua asta                   | Traian Dorz | poezie |       34      |      129      |
| Cine-i oare fericit?                  | Traian Dorz | poezie |       26      |      101      |
| Am plecat de-acasă                    | Traian Dorz | poezie |       24      |      126      |
| Vino lacrimă cu mine                  | Traian Dorz | poezie |       29      |      106      |
| Nu-ţi schimba cuvântul                | Traian Dorz | poezie |       24      |      131      |
| N-am avut nimic Isuse                 | Traian Dorz | poezie |       25      |      162      |
| Dacă n-aveţi                          | Traian Dorz | poezie |       26      |      119      |
| Lume-ntunecată vale                   | Traian Dorz | poezie |       27      |      106      |
| Dragoste necredincioasă               | Traian Dorz | poezie |       24      |      163      |
| De ce plângi?                         | Traian Dorz | poezie |       21      |      119      |
| Unul lângă altul                      | Traian Dorz | poezie |       29      |       92      |
