308 articles
+------------------------------+-------------+--------+---------------+---------------+
| Titlu                        |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
+------------------------------+-------------+--------+---------------+---------------+
| Vol. 11                      | Traian Dorz | poezie |       39      |      173      |
| Psalm 119, 105-112           | Traian Dorz | poezie |       24      |      113      |
| Mulţumesc lui Dumnezeu       | Traian Dorz | poezie |       14      |       62      |
| Cuvânt înainte               | Traian Dorz | poezie |       34      |      216      |
| Geneza 1, 1                  | Traian Dorz | poezie |       22      |       90      |
| Geneza 1                     | Traian Dorz | poezie |       22      |       84      |
| Geneza 2, 7                  | Traian Dorz | poezie |       22      |       80      |
| Geneza 3, 8                  | Traian Dorz | poezie |       22      |       94      |
| Geneza 4, 8                  | Traian Dorz | poezie |       22      |      104      |
| Geneza 6, 13                 | Traian Dorz | poezie |       22      |       97      |
| Geneza 7, 6                  | Traian Dorz | poezie |       22      |       97      |
| Geneza 8, 8                  | Traian Dorz | poezie |       22      |       94      |
| Geneza 9, 8                  | Traian Dorz | poezie |       22      |       82      |
| Geneza 11, 1                 | Traian Dorz | poezie |       22      |      102      |
| Geneza 12, 1-9               | Traian Dorz | poezie |       22      |       98      |
| Geneza 13, 5                 | Traian Dorz | poezie |       22      |       91      |
| Geneza 15, 1                 | Traian Dorz | poezie |       47      |      201      |
| Geneza 22, 1                 | Traian Dorz | poezie |       22      |       89      |
| Geneza 24, 10                | Traian Dorz | poezie |       22      |       90      |
| Geneza 24, 63                | Traian Dorz | poezie |       22      |       89      |
| Geneza 27, 1                 | Traian Dorz | poezie |       22      |       98      |
| Geneza 28, 10                | Traian Dorz | poezie |       22      |       94      |
| Geneza 29, 1                 | Traian Dorz | poezie |       22      |      105      |
| Geneza 32, 24                | Traian Dorz | poezie |       22      |       92      |
| Geneza 33, 1-9               | Traian Dorz | poezie |       22      |      100      |
| Geneza 37, 3                 | Traian Dorz | poezie |       22      |       95      |
| Geneza 37, 13                | Traian Dorz | poezie |       22      |      106      |
| Geneza 37, 28                | Traian Dorz | poezie |       22      |      104      |
| Geneza 39, 1                 | Traian Dorz | poezie |       22      |       92      |
| Geneza 39, 20                | Traian Dorz | poezie |       22      |       94      |
| Geneza 41, 1                 | Traian Dorz | poezie |       22      |       94      |
| Geneza 41, 14                | Traian Dorz | poezie |       22      |       90      |
| Geneza 42, 6                 | Traian Dorz | poezie |       22      |      101      |
| Geneza 45, 1                 | Traian Dorz | poezie |       22      |       97      |
| Geneza 48, 9                 | Traian Dorz | poezie |       22      |       91      |
| Exod 1, 7                    | Traian Dorz | poezie |       22      |       87      |
| Exod 2, 1-4                  | Traian Dorz | poezie |       22      |      102      |
| Exod 2, 5-10                 | Traian Dorz | poezie |       22      |       88      |
| Exod 3, 1                    | Traian Dorz | poezie |       22      |       97      |
| Exod 5, 6-19                 | Traian Dorz | poezie |       22      |       98      |
| Exod 12, 1-13                | Traian Dorz | poezie |       22      |       96      |
| Exod 12, 29                  | Traian Dorz | poezie |       22      |       91      |
| Exod 13, 21                  | Traian Dorz | poezie |       22      |       92      |
| Exod 14, 12                  | Traian Dorz | poezie |       22      |       84      |
| Exod 14, 26                  | Traian Dorz | poezie |       22      |       83      |
| Exod 16, 26                  | Traian Dorz | poezie |       22      |       97      |
| Exod 17, 1-6                 | Traian Dorz | poezie |       22      |       94      |
| Exod 32, 15                  | Traian Dorz | poezie |       22      |       92      |
