422 articles
+-----------------------------------------+-------------+--------+---------------+---------------+
| Titlu                                   |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
+-----------------------------------------+-------------+--------+---------------+---------------+
| Vol. 1                                  | Traian Dorz | poezie |       55      |      185      |
| Cântările Dintâi                        | Traian Dorz | poezie |       38      |      114      |
| Isuse, cântecele mele                   | Traian Dorz | poezie |       24      |      102      |
| Tinereţe, leagăn dulce                  | Traian Dorz | poezie |       26      |      163      |
| Jos pe crucea...                        | Traian Dorz | poezie |       47      |      159      |
| În pacea serii - Doamne Sfinte          | Traian Dorz | poezie |      101      |      551      |
| Am fost o harfă - 1                     | Traian Dorz | poezie |       30      |      118      |
| Mama - mi-ai cântat                     | Traian Dorz | poezie |       41      |      239      |
| Şi cu cât privesc                       | Traian Dorz | poezie |       39      |      151      |
| Suferinţă - crin din care               | Traian Dorz | poezie |       37      |      166      |
| Poporul Meu...                          | Traian Dorz | poezie |       64      |      347      |
| O, Isuse Milostive                      | Traian Dorz | poezie |       32      |      181      |
| Cu Domnul spre Golgota - 1              | Traian Dorz | poezie |      115      |      571      |
| Şi mă duc străin Isuse                  | Traian Dorz | poezie |       52      |      257      |
| În această clipă Doamne                 | Traian Dorz | poezie |       32      |      198      |
| La Tine vin Isuse iar                   | Traian Dorz | poezie |       39      |      146      |
| Fiu pierdut                             | Traian Dorz | poezie |       29      |      211      |
| Blândul Păstor                          | Traian Dorz | poezie |       49      |      185      |
| Două mii de ani Isuse...                | Traian Dorz | poezie |      116      |      672      |
| Toamnă - a căzut murind                 | Traian Dorz | poezie |       64      |      163      |
| Străină-a fost viaţa mea                | Traian Dorz | poezie |       35      |      141      |
| Noaptea Naşterii                        | Traian Dorz | poezie |       47      |      204      |
| O, iubire cântec dulce                  | Traian Dorz | poezie |       55      |      297      |
| Primăvară - toată firea                 | Traian Dorz | poezie |       37      |      185      |
| Rugăciune - Doamne Tu                   | Traian Dorz | poezie |       35      |      146      |
| O, Isuse Domnul Slavei                  | Traian Dorz | poezie |       40      |      220      |
| Eu eram copil Isuse...                  | Traian Dorz | poezie |       34      |      114      |
| Samaritene!...                          | Traian Dorz | poezie |       53      |      220      |
| O, voi copii ai Domnului                | Traian Dorz | poezie |       29      |      106      |
| În biserică şi-n şcoală                 | Traian Dorz | poezie |       23      |       85      |
| Când zăceam în grea durere              | Traian Dorz | poezie |       29      |      111      |
| Spre Tine strig Doamne                  | Traian Dorz | poezie |       39      |      146      |
| De vrei pe Domnul                       | Traian Dorz | poezie |       24      |       93      |
| Însetat după dreptate                   | Traian Dorz | poezie |       30      |      116      |
| Când Te-ai coborât în lume              | Traian Dorz | poezie |       24      |       99      |
| Tu omule ce-ţi faci                     | Traian Dorz | poezie |       26      |      120      |
| Suflet chinuit de patimi                | Traian Dorz | poezie |       21      |      109      |
| Voi cei orbi                            | Traian Dorz | poezie |       26      |      107      |
| Cina Domnului e gata!                   | Traian Dorz | poezie |       30      |      144      |
| Bogăţie, lanţ al morţii                 | Traian Dorz | poezie |       24      |      101      |
| Miezul nopţii...                        | Traian Dorz | poezie |       34      |      117      |
