314 articles
+-------------------------------------------+-------------+--------+---------------+---------------+
| Titlu                                     |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
+-------------------------------------------+-------------+--------+---------------+---------------+
| Vol. 2                                    | Traian Dorz | poezie |      110      |      617      |
| Făclie pentru paşii mei                   | Traian Dorz | poezie |      115      |      466      |
| Cântarea lui Moise                        | Traian Dorz | poezie |      160      |      770      |
| Cântarea Deborei                          | Traian Dorz | poezie |      125      |      499      |
| Cântarea Anei                             | Traian Dorz | poezie |       46      |      239      |
| Cântarea împăratului David                | Traian Dorz | poezie |      166      |      709      |
| Cântarea lui Asaf                         | Traian Dorz | poezie |      107      |      401      |
| Cântarea lui Isaia - 1                    | Traian Dorz | poezie |       31      |      112      |
| Cântarea lui Isaia - 2                    | Traian Dorz | poezie |       19      |      113      |
| Cântarea lui Isaia - 3                    | Traian Dorz | poezie |       41      |      130      |
| Cântarea lui Isaia - 4                    | Traian Dorz | poezie |       21      |       80      |
| Cântarea lui Isaia - 5                    | Traian Dorz | poezie |       31      |      131      |
| Cântarea lui Isaia - 6                    | Traian Dorz | poezie |       16      |       91      |
| Cântarea lui Isaia - 7                    | Traian Dorz | poezie |       37      |      139      |
| Cântarea lui Isaia - 8                    | Traian Dorz | poezie |       53      |      195      |
| Cântarea lui Isaia - 9                    | Traian Dorz | poezie |       13      |       76      |
| Cântarea lui Isaia - 10                   | Traian Dorz | poezie |       36      |      165      |
| Cântarea lui Isaia - 11                   | Traian Dorz | poezie |       64      |      294      |
| Cântarea lui Isaia - 12                   | Traian Dorz | poezie |       25      |      154      |
| Cântarea lui Isaia - 13                   | Traian Dorz | poezie |       26      |      125      |
| Cântarea lui Isaia - 14                   | Traian Dorz | poezie |       31      |      142      |
| Cântarea lui Isaia - 15                   | Traian Dorz | poezie |       21      |       73      |
| Cântarea lui Isaia - 16                   | Traian Dorz | poezie |       31      |      154      |
| Cântarea lui Isaia - 17                   | Traian Dorz | poezie |       29      |      110      |
| Cântarea lui Isaia - 18                   | Traian Dorz | poezie |       50      |      273      |
| Cântarea lui Isaia - 19                   | Traian Dorz | poezie |       73      |      371      |
| Cântarea lui Isaia - 20                   | Traian Dorz | poezie |       27      |      116      |
| Cântarea lui Isaia - 21                   | Traian Dorz | poezie |       41      |      201      |
| Cântarea lui Isaia - 22                   | Traian Dorz | poezie |       26      |      100      |
| Cântarea lui Isaia - 23                   | Traian Dorz | poezie |       24      |      127      |
| Cântarea lui Isaia - 24                   | Traian Dorz | poezie |       65      |      242      |
| Cântarea lui Avacum (Habacuc)             | Traian Dorz | poezie |       78      |      370      |
| Cântarea Arhanghelului Gavril             | Traian Dorz | poezie |       31      |      105      |
| Cântarea Mariei, Maica Domnului           | Traian Dorz | poezie |       43      |      178      |
| Cântarea preotului Zaharia                | Traian Dorz | poezie |       61      |      216      |
| Cântarea îngerilor Naşterii               | Traian Dorz | poezie |       15      |       68      |
| Cântarea lui Simeon                       | Traian Dorz | poezie |       10      |       54      |
| Cântarea Învierii, Hristos a Înviat       | Traian Dorz | poezie |       19      |       83      |
| Cântarea bătrânilor slăviţi               | Traian Dorz | poezie |       22      |       91      |
| Cântarea îngerilor nenumăraţi             | Traian Dorz | poezie |       17      |       60      |
| Cântarea biruitorilor                     | Traian Dorz | poezie |       19      |       75      |
| Rugăciunea patriarhului Iacov             | Traian Dorz | poezie |       16      |      122      |
| Rugăciunea lui Moise - 1                  | Traian Dorz | poezie |       26      |       90      |
| Rugăciunea lui Moise - 2                  | Traian Dorz | poezie |       19      |      105      |
| Rugăciunea prorocului Ilie                | Traian Dorz | poezie |       21      |       80      |
| Rugăciunea împăratului Ezechia            | Traian Dorz | poezie |       26      |       89      |
| Rugăciunea împăratului David - 1          | Traian Dorz | poezie |       81      |      355      |
| Rugăciunea împăratului David - 2          | Traian Dorz | poezie |       79      |      272      |
| Rugăciunea împăratului Solomon            | Traian Dorz | poezie |      174      |      773      |
| Rugăciunea împăratului Asa                | Traian Dorz | poezie |       28      |       78      |
| Rugăciunea împăratului Iosafat            | Traian Dorz | poezie |       37      |      154      |
| Rugăciunea preotului Ezra                 | Traian Dorz | poezie |       45      |      179      |
| Rugăciunea profetului Neemia - 1          | Traian Dorz | poezie |       48      |      229      |
| Rugăciunea profetului Neemia - 2          | Traian Dorz | poezie |       16      |       82      |
| Rugăciunea profetului Isaia - 1           | Traian Dorz | poezie |       19      |      122      |
| Rugăciunea profetului Isaia - 2           | Traian Dorz | poezie |       73      |      298      |
| Rugăciunea profetului Ieremia - 1         | Traian Dorz | poezie |       21      |       84      |
| Rugăciunea profetului Ieremia - 2         | Traian Dorz | poezie |       28      |       86      |
| Rugăciunea profetului Ieremia - 3         | Traian Dorz | poezie |       16      |       97      |
| Rugăciunea profetului Ieremia - 4         | Traian Dorz | poezie |       60      |      283      |
| Rugăciunea profetului Daniel              | Traian Dorz | poezie |       37      |      180      |
| Rugăciunea profetului Iona                | Traian Dorz | poezie |       38      |      138      |
| Rugăciunea Domnului Isus Hristos - 1      | Traian Dorz | poezie |       30      |      128      |
| Rugăciunea Domnului Isus Hristos - 2      | Traian Dorz | poezie |       21      |       66      |
| Rugăciunea Domnului Isus Hristos - 3      | Traian Dorz | poezie |       25      |       75      |
| Rugăciunea Domnului Isus Hristos - 4      | Traian Dorz | poezie |       93      |      522      |
| Rugăciunea Domnului Isus Hristos - 5      | Traian Dorz | poezie |       25      |       87      |
| Rugăciunea Domnului Isus Hristos - 6      | Traian Dorz | poezie |       22      |       59      |
| Rugăciunea Domnului Isus Hristos - 7      | Traian Dorz | poezie |       16      |       70      |
| Rugăciunea Domnului Isus Hristos - 8      | Traian Dorz | poezie |       21      |       66      |
| Rugăciunea sfinţilor apostoli             | Traian Dorz | poezie |       39      |      170      |
| Să te binecuvânteze Domnul, să te         | Traian Dorz | poezie |       11      |       47      |
| Binecuvântat să fii                       | Traian Dorz | poezie |       10      |       49      |
| Binecuvântat să fie Domnul care-a         | Traian Dorz | poezie |       11      |       74      |
| Să te-asculte Domnul                      | Traian Dorz | poezie |       16      |       90      |
| Binecuvântat să fie Domnul, binecuvântat  | Traian Dorz | poezie |       6       |       30      |
| Dumnezeu să aibă milă                     | Traian Dorz | poezie |       10      |       32      |
| Binecuvântat să fie, binecuvântat         | Traian Dorz | poezie |       7       |       28      |
| Binecuvântat să fie Dumnezeu - 1          | Traian Dorz | poezie |       11      |       43      |
| Binecuvântat să fie Domnul Dumnezeu       | Traian Dorz | poezie |       8       |       24      |
| Domnul este, Domnul fie                   | Traian Dorz | poezie |       27      |       86      |
| Să te binecuvânteze Domnul din            | Traian Dorz | poezie |       6       |       38      |
| Binecuvântarea sfântă                     | Traian Dorz | poezie |       6       |       36      |
| Binecuvântat să fie omul care             | Traian Dorz | poezie |       12      |       53      |
| Osana, Isuse, Osana                       | Traian Dorz | poezie |       10      |       36      |
| Binecuvântată este pe vecie               | Traian Dorz | poezie |       7       |       26      |
| Binecuvântat să fie Tatăl                 | Traian Dorz | poezie |       10      |       47      |
| Harul Domnului Isus                       | Traian Dorz | poezie |       8       |       37      |
| Binecuvântat să fie Dumnezeu - 2          | Traian Dorz | poezie |       9       |       31      |
| Dumnezeul Păcii Sfinte                    | Traian Dorz | poezie |       6       |       38      |
| Dumnezeul Păcii, care                     | Traian Dorz | poezie |       20      |       74      |
| Binecuvântat în veci                      | Traian Dorz | poezie |       11      |       47      |
| Harul şi pacea                            | Traian Dorz | poezie |       12      |       47      |
| Iar a Aceluia ce poate                    | Traian Dorz | poezie |       10      |       42      |
| Amin. Amin. Amin                          | Traian Dorz | poezie |       73      |      384      |
| Psalmul 1                                 | Traian Dorz | poezie |       34      |      133      |
| Psalmul 2                                 | Traian Dorz | poezie |       36      |      204      |
| Psalmul 3                                 | Traian Dorz | poezie |       41      |      168      |
| Psalmul 4                                 | Traian Dorz | poezie |       57      |      184      |
| Psalmul 5                                 | Traian Dorz | poezie |       51      |      258      |
| Psalmul 6                                 | Traian Dorz | poezie |       41      |      156      |
| Psalmul 7                                 | Traian Dorz | poezie |       45      |      257      |
| Psalmul 8                                 | Traian Dorz | poezie |       37      |      131      |
| Psalmul 9                                 | Traian Dorz | poezie |       58      |      304      |
| Psalmul 10                                | Traian Dorz | poezie |       58      |      214      |
| Psalmul 11                                | Traian Dorz | poezie |       43      |      169      |
| Psalmul 12                                | Traian Dorz | poezie |       36      |      135      |
| Psalmul 13                                | Traian Dorz | poezie |       35      |      133      |
| Psalmul 14                                | Traian Dorz | poezie |       41      |      174      |
| Psalmul 15                                | Traian Dorz | poezie |       31      |      110      |
| Psalmul 16                                | Traian Dorz | poezie |       31      |      172      |
| Psalmul 17                                | Traian Dorz | poezie |       36      |      245      |
| Psalmul 18                                | Traian Dorz | poezie |       74      |      529      |
| Psalmul 19                                | Traian Dorz | poezie |       60      |      198      |
| Psalmul 20                                | Traian Dorz | poezie |       55      |      214      |
| Psalmul 21                                | Traian Dorz | poezie |       26      |      184      |
| Psalmul 22                                | Traian Dorz | poezie |      129      |      709      |
| Psalmul 23                                | Traian Dorz | poezie |       36      |      126      |
| Psalmul 24                                | Traian Dorz | poezie |       51      |      151      |
| Psalmul 25                                | Traian Dorz | poezie |       48      |      311      |
| Psalmul 26                                | Traian Dorz | poezie |       36      |      126      |
| Psalmul 27                                | Traian Dorz | poezie |       56      |      247      |
| Psalmul 28                                | Traian Dorz | poezie |       50      |      168      |
| Psalmul 29                                | Traian Dorz | poezie |       36      |       99      |
| Psalmul 30                                | Traian Dorz | poezie |       36      |      187      |
| Psalmul 31                                | Traian Dorz | poezie |       84      |      420      |
| Psalmul 32                                | Traian Dorz | poezie |       56      |      201      |
| Psalmul 33                                | Traian Dorz | poezie |       48      |      238      |
| Psalmul 34                                | Traian Dorz | poezie |       54      |      351      |
| Psalmul 35                                | Traian Dorz | poezie |       70      |      415      |
| Psalmul 36                                | Traian Dorz | poezie |       66      |      222      |
| Psalmul 37                                | Traian Dorz | poezie |       82      |      588      |
| Psalmul 38                                | Traian Dorz | poezie |       52      |      274      |
| Psalmul 39                                | Traian Dorz | poezie |       89      |      461      |
| Psalmul 40                                | Traian Dorz | poezie |       64      |      334      |
| Psalmul 41                                | Traian Dorz | poezie |       40      |      250      |
| Psalmul 42                                | Traian Dorz | poezie |       45      |      239      |
| Psalmul 43                                | Traian Dorz | poezie |       34      |      121      |
| Psalmul 44                                | Traian Dorz | poezie |       51      |      373      |
| Psalmul 45                                | Traian Dorz | poezie |       41      |      307      |
| Psalmul 46                                | Traian Dorz | poezie |       54      |      197      |
| Psalmul 47                                | Traian Dorz | poezie |       40      |      128      |
