178 articles
+----------------------------+-------------+---------+---------------+---------------+
| Titlu                      |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
+----------------------------+-------------+---------+---------------+---------------+
| Comori Nemuritoare         | Traian Dorz |  poezie |       29      |       83      |
| Bisericuţă transilvană     | Traian Dorz |  poezie |       29      |      116      |
| Despre adevăr              | Traian Dorz | articol |      1030     |      6130     |
| Despre ajutorare           | Traian Dorz | articol |      528      |      3135     |
| Despre alcool              | Traian Dorz | articol |      285      |      1742     |
| Despre ascultare           | Traian Dorz | articol |      232      |      1396     |
| Despre bine                | Traian Dorz | articol |      235      |      1387     |
| Despre Biserică            | Traian Dorz | articol |       30      |      139      |
| Despre blândeţe            | Traian Dorz | articol |       93      |      567      |
| Despre bucurie             | Traian Dorz | articol |      167      |      983      |
| Despre bunătate            | Traian Dorz | articol |      293      |      1828     |
| Despre carte               | Traian Dorz | articol |      263      |      1461     |
| Despre căsnicie            | Traian Dorz | articol |      505      |      3029     |
| Despre ceartă              | Traian Dorz | articol |       41      |      226      |
| Despre cinste              | Traian Dorz | articol |      368      |      2162     |
| Despre clevetire           | Traian Dorz | articol |      248      |      1482     |
| Despre conştiinţă          | Traian Dorz | articol |      105      |      582      |
| Despre copii               | Traian Dorz | articol |       94      |      592      |
| Despre credinţă            | Traian Dorz | articol |      372      |      2260     |
| Despre cumpătare           | Traian Dorz | articol |      556      |      3202     |
| Nemuritoarele Comori       | Traian Dorz |  poezie |       29      |      100      |
| Coloana infinită           | Traian Dorz |  poezie |       26      |       90      |
| Despre cumpătare           | Traian Dorz | articol |      189      |      1090     |
| Despre cunoştinţă          | Traian Dorz | articol |      156      |      879      |
| Despre curăţie             | Traian Dorz | articol |      226      |      1346     |
| Despre cuviinţă            | Traian Dorz | articol |       53      |      291      |
| Despre datorie             | Traian Dorz | articol |      109      |      593      |
| Despre dărnicie            | Traian Dorz | articol |       96      |      569      |
| Despre desăvârşire         | Traian Dorz | articol |      120      |      772      |
| Despre deşertăciune        | Traian Dorz | articol |       49      |      263      |
| Despre dorinţă             | Traian Dorz | articol |      116      |      650      |
| Despre dreptate            | Traian Dorz | articol |      290      |      1724     |
