+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       306       |
|                'cînd'               |                'când'               |              replace_words              | verses |       208       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       182       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       121       |
|                'cît'                |                'cât'                |              replace_words              | verses |       101       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |        92       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |        65       |
|                'pînă'               |                'până'               |              replace_words              | verses |        58       |
|               '     '               |                  ''                 |               strip_spaces              | verses |        51       |
|               'cîntăm'              |               'cântăm'              |              replace_words              | verses |        51       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        51       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |        51       |
|               '     '               |               '     '               |               replace_nbsp              | verses |        51       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        48       |
|        '                    '       |                  ''                 |               strip_spaces              | verses |        47       |
|        '                    '       |        '                    '       |               replace_nbsp              | verses |        47       |
|            '            '           |                  ''                 |               strip_spaces              | verses |        45       |
|            '            '           |            '            '           |               replace_nbsp              | verses |        45       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        43       |
|               'blînd'               |               'blând'               |              replace_words              | verses |        42       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        39       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        38       |
|               'cîntă'               |               'cântă'               |              replace_words              | verses |        33       |
|           'binecuvîntează'          |           'binecuvântează'          |              replace_words              | verses |        25       |
|                'pîn'                |                'pân'                |              replace_words              | verses |        24       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        24       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        24       |
|               'Sfîntă'              |               'Sfântă'              |              replace_words              | verses |        24       |
|               'plînge'              |               'plânge'              |              replace_words              | verses |        23       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        22       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        20       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        20       |
|               'Cîntă'               |               'Cântă'               |              replace_words              | verses |        19       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        19       |
|                'atît'               |                'atât'               |              replace_words              | verses |        19       |
|               'decît'               |               'decât'               |              replace_words              | verses |        19       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        17       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        16       |
|              'cîntare'              |              'cântare'              |              replace_words              | verses |        16       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        15       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        15       |
|               'sfînta'              |               'sfânta'              |              replace_words              | verses |        14       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        14       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        14       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        14       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        14       |
|               'Genesa'              |               'Geneza'              |              replace_words              | verses |        14       |
|                'Cîte'               |                'Câte'               |              replace_words              | verses |        13       |
|                'cînt'               |                'cânt'               |              replace_words              | verses |        13       |
|              'plîngînd'             |              'plângând'             |              replace_words              | verses |        13       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        13       |
|              'cîntînd'              |              'cântând'              |              replace_words              | verses |        13       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        12       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        12       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        12       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        12       |
|                'vînt'               |                'vânt'               |              replace_words              | verses |        10       |
|               'cînta'               |               'cânta'               |              replace_words              | verses |        10       |
|            'Binecuvîntat'           |            'Binecuvântat'           |              replace_words              | verses |        9        |
|           'Binecuvîntare'           |           'Binecuvântare'           |              replace_words              | verses |        9        |
|             'ascultînd'             |             'ascultând'             |              replace_words              | verses |        9        |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        9        |
|              'sfîntul'              |              'sfântul'              |              replace_words              | verses |        8        |
|              'amîndoi'              |              'amândoi'              |              replace_words              | verses |        8        |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        8        |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        8        |
|                'Atît'               |                'Atât'               |              replace_words              | verses |        8        |
|              'nicicînd'             |              'nicicând'             |              replace_words              | verses |        8        |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        8        |
|               'stînd'               |               'stând'               |              replace_words              | verses |        8        |
|              'cîntaţi'              |              'cântaţi'              |              replace_words              | verses |        8        |
|               'Cîntă'               |               'Cântă'               |              replace_words              | title  |        8        |
|               'blînzi'              |               'blânzi'              |              replace_words              | verses |        7        |
|                'rînd'               |                'rând'               |              replace_words              | verses |        7        |
|               'dînşii'              |               'dânşii'              |              replace_words              | verses |        7        |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        7        |
|               'pîine'               |               'pâine'               |              replace_words              | verses |        7        |
|               'Blînd'               |               'Blând'               |              replace_words              | verses |        7        |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        7        |
|           'binecuvîntare'           |           'binecuvântare'           |              replace_words              | verses |        7        |
|               'cînte'               |               'cânte'               |              replace_words              | verses |        7        |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        7        |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        7        |
|             'Preasfînt'             |             'Preasfânt'             |              replace_words              | verses |        6        |
|               'plîng'               |               'plâng'               |              replace_words              | verses |        6        |
|           'Binecuvîntează'          |           'Binecuvântează'          |              replace_words              | verses |        6        |
|               'cîntec'              |               'cântec'              |              replace_words              | verses |        6        |
|           'Binecuvîntaţi'           |           'Binecuvântaţi'           |              replace_words              | verses |        6        |
|               'văzînd'              |               'văzând'              |              replace_words              | verses |        6        |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        6        |
|                'Cînd'               |                'Când'               |              replace_words              | title  |        6        |
|            '     nani-na'           |              'nani-na'              |               strip_spaces              | verses |        5        |
|               'urmînd'              |               'urmând'              |              replace_words              | verses |        5        |
|             'orişicînd'             |             'orişicând'             |              replace_words              | verses |        5        |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        5        |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        5        |
|              'mîntuiţi'             |              'mântuiţi'             |              replace_words              | verses |        5        |
|              'mîntuit'              |              'mântuit'              |              replace_words              | verses |        5        |
|           'binecuvîntarea'          |           'binecuvântarea'          |              replace_words              | verses |        5        |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        5        |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        5        |
|           'Binecuvîntată'           |           'Binecuvântată'           |              replace_words              | verses |        5        |
|                'Cîte'               |                'Câte'               |              replace_words              | title  |        5        |
|            '     nani-na'           |            '     nani-na'           |               replace_nbsp              | verses |        5        |
|           'binecuvîntată'           |           'binecuvântată'           |              replace_words              | verses |        4        |
|              'cîntarea'             |              'cântarea'             |              replace_words              | verses |        4        |
|             'Sfîntului'             |             'Sfântului'             |              replace_words              | verses |        4        |
|                'Cîţi'               |                'Câţi'               |              replace_words              | verses |        4        |
|             'aşteptînd'             |             'aşteptând'             |              replace_words              | verses |        4        |
|               'gîndim'              |               'gândim'              |              replace_words              | verses |        4        |
|               'rămîi'               |               'rămâi'               |              replace_words              | verses |        4        |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        4        |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        4        |
|               'rîvna'               |               'râvna'               |              replace_words              | verses |        4        |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        4        |
|              'gîndeşti'             |              'gândeşti'             |              replace_words              | verses |        4        |
|              'Cîntaţi'              |              'Cântaţi'              |              replace_words              | verses |        4        |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        4        |
|               'grîul'               |               'grâul'               |              replace_words              | verses |        4        |
|               'mîntui'              |               'mântui'              |              replace_words              | verses |        4        |
|               'vîntul'              |               'vântul'              |              replace_words              | verses |        4        |
|              'cîntării'             |              'cântării'             |              replace_words              | verses |        4        |
|              'mergînd'              |              'mergând'              |              replace_words              | verses |        4        |
|               'cînţi'               |               'cânţi'               |              replace_words              | verses |        4        |
|              'lăudîndu'             |              'lăudându'             |              replace_words              | verses |        4        |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        4        |
|              'cîntecul'             |              'cântecul'             |              replace_words              | verses |        4        |
|              'Mîinile'              |              'Mâinile'              |              replace_words              | verses |        4        |
|               'făcînd'              |               'făcând'              |              replace_words              | verses |        4        |
|              'Sîngele'              |              'Sângele'              |              replace_words              | verses |        4        |
|              'crezînd'              |              'crezând'              |              replace_words              | verses |        4        |
|                'cînd'               |                'când'               |              replace_words              | title  |        4        |
|                'sînt'               |                'sunt'               |              replace_words              | title  |        4        |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | title  |        4        |
|                'Cît'                |                'Cât'                |              replace_words              | title  |        4        |
|              'Cîntări'              |              'Cântări'              |              replace_words              | verses |        3        |
|               'Sîntem'              |               'Suntem'              |              replace_words              | verses |        3        |
|               'cîntat'              |               'cântat'              |              replace_words              | verses |        3        |
|             'mîngîiere'             |             'mângâiere'             |              replace_words              | verses |        3        |
|               'gîndit'              |               'gândit'              |              replace_words              | verses |        3        |
|               'sfîrşi'              |               'sfârşi'              |              replace_words              | verses |        3        |
|              'strînge'              |              'strânge'              |              replace_words              | verses |        3        |
|            'binecuvîntăm'           |            'binecuvântăm'           |              replace_words              | verses |        3        |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        3        |
|              'oricîte'              |              'oricâte'              |              replace_words              | verses |        3        |
|               'cîmpul'              |               'câmpul'              |              replace_words              | verses |        3        |
|              'bătrîni'              |              'bătrâni'              |              replace_words              | verses |        3        |
|              'plîngem'              |              'plângem'              |              replace_words              | verses |        3        |
|             'mormîntul'             |             'mormântul'             |              replace_words              | verses |        3        |
|               'tînăr'               |               'tânăr'               |              replace_words              | verses |        3        |
|                'fîn'                |                'fân'                |              replace_words              | verses |        3        |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        3        |
|              'bătrînul'             |              'bătrânul'             |              replace_words              | verses |        3        |
|              'coborît'              |              'coborât'              |              replace_words              | verses |        3        |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        3        |
|               'Lîngă'               |               'Lângă'               |              replace_words              | verses |        3        |
|             'lăcrimînd'             |             'lăcrimând'             |              replace_words              | verses |        3        |
|               'Cîteva'              |               'Câteva'              |              replace_words              | verses |        3        |
|              'mîntuie'              |              'mântuie'              |              replace_words              | verses |        3        |
|               'plîngi'              |               'plângi'              |              replace_words              | verses |        3        |
|              'orişicît'             |              'orişicât'             |              replace_words              | verses |        3        |
|           'Binecuvîntarea'          |           'Binecuvântarea'          |              replace_words              | verses |        3        |
|               'Sînge'               |               'Sânge'               |              replace_words              | verses |        3        |
|               'dînsul'              |               'dânsul'              |              replace_words              | verses |        3        |
|              'flămînd'              |              'flămând'              |              replace_words              | verses |        3        |
|               'arzînd'              |               'arzând'              |              replace_words              | verses |        3        |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | title  |        3        |
|           'Binecuvîntare'           |           'Binecuvântare'           |              replace_words              | title  |        3        |
| '     fii binecu...ci şi în veci. ' | 'fii binecuvînta...ci şi în veci. ' |               strip_spaces              | verses |        2        |
|      '     slavă, slavă Ţie. '      |         'slavă, slavă Ţie. '        |               strip_spaces              | verses |        2        |
|                 '. '                |                 '.'                 |               strip_spaces              | verses |        2        |
|              'Cîntarea'             |              'Cântarea'             |              replace_words              | verses |        2        |
|               'pîinea'              |               'pâinea'              |              replace_words              | verses |        2        |
|                'sîn'                |                'sân'                |              replace_words              | verses |        2        |
|               'cîmpie'              |               'câmpie'              |              replace_words              | verses |        2        |
|               'Sînul'               |               'Sânul'               |              replace_words              | verses |        2        |
|              'Sfîrşit'              |              'Sfârşit'              |              replace_words              | verses |        2        |
|               'ducînd'              |               'ducând'              |              replace_words              | verses |        2        |
|                'cîmp'               |                'câmp'               |              replace_words              | verses |        2        |
|              'Stăpîne'              |              'Stăpâne'              |              replace_words              | verses |        2        |
|                'grîu'               |                'grâu'               |              replace_words              | verses |        2        |
|                'dînd'               |                'dând'               |              replace_words              | verses |        2        |
|               'avînd'               |               'având'               |              replace_words              | verses |        2        |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        2        |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        2        |
|              'sfîrşim'              |              'sfârşim'              |              replace_words              | verses |        2        |
|             'cîntările'             |             'cântările'             |              replace_words              | verses |        2        |
|               'Atîtea'              |               'Atâtea'              |              replace_words              | verses |        2        |
|              'gîngurea'             |              'gângurea'             |              replace_words              | verses |        2        |
|              'plîngea'              |              'plângea'              |              replace_words              | verses |        2        |
|             'nesfîrşit'             |             'nesfârşit'             |              replace_words              | verses |        2        |
|              'mîncare'              |              'mâncare'              |              replace_words              | verses |        2        |
|             'sfîrşeşte'             |             'sfârşeşte'             |              replace_words              | verses |        2        |
|               'mînios'              |               'mânios'              |              replace_words              | verses |        2        |
|             'desăvîrşit'            |             'desăvârşit'            |              replace_words              | verses |        2        |
|              'sînteţi'              |              'sunteţi'              |              replace_words              | verses |        2        |
|            'binecuvînte'            |            'binecuvânte'            |              replace_words              | verses |        2        |
|              'înălţînd'             |              'înălţând'             |              replace_words              | verses |        2        |
|               'tîlhar'              |               'tâlhar'              |              replace_words              | verses |        2        |
|               'Pîinea'              |               'Pâinea'              |              replace_words              | verses |        2        |
|              'Legămînt'             |              'Legământ'             |              replace_words              | verses |        2        |
|             'nfrînarea'             |             'nfrânarea'             |              replace_words              | verses |        2        |
|               'osîndă'              |               'osândă'              |              replace_words              | verses |        2        |
|              'Strînge'              |              'Strânge'              |              replace_words              | verses |        2        |
|               'Stînca'              |               'Stânca'              |              replace_words              | verses |        2        |
|               'mîniat'              |               'mâniat'              |              replace_words              | verses |        2        |
|                'rîu'                |                'râu'                |              replace_words              | verses |        2        |
|               'mîncat'              |               'mâncat'              |              replace_words              | verses |        2        |
|              'rămînea'              |              'rămânea'              |              replace_words              | verses |        2        |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        2        |
|              'căutînd'              |              'căutând'              |              replace_words              | verses |        2        |
|                'gîze'               |                'gâze'               |              replace_words              | verses |        2        |
|              'Cîntarea'             |              'Cântarea'             |              replace_words              | title  |        2        |
|               'lîngă'               |               'lângă'               |              replace_words              | title  |        2        |
|           'binecuvîntează'          |           'binecuvântează'          |              replace_words              | title  |        2        |
|            'Binecuvîntat'           |            'Binecuvântat'           |              replace_words              | title  |        2        |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | title  |        2        |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | title  |        2        |
|               'cîmpul'              |               'câmpul'              |              replace_words              | title  |        2        |
|              'Cîntaţi'              |              'Cântaţi'              |              replace_words              | title  |        2        |
| '     fii binecu...ci şi în veci. ' | '     fii binecu...ci şi în veci. ' |               replace_nbsp              | verses |        2        |
|      '     slavă, slavă Ţie. '      |      '     slavă, slavă Ţie. '      |               replace_nbsp              | verses |        2        |
|                '   '                |                  ''                 |               strip_spaces              | verses |        1        |
|              '       1'             |                 '1'                 |               strip_spaces              | verses |        1        |
| '       2  - Cîn...ea  Îngeraşilor' |     '2  - Cîntarea  Îngeraşilor'    |               strip_spaces              | verses |        1        |
| '       3  - Cît... povestire mică' |    '3  - Cîte-o  povestire mică'    |               strip_spaces              | verses |        1        |
|     '       4  - Cîntă-mi  mamă'    |        '4  - Cîntă-mi  mamă'        |               strip_spaces              | verses |        1        |
| '       5  - Alb... Biblic colorat' |     '5  - Album Biblic colorat'     |               strip_spaces              | verses |        1        |
| '       6  - Alt...tări - culegeri' |   '6  - Alte  cîntări - culegeri'   |               strip_spaces              | verses |        1        |
| '     cu puţin d...s decît îngerii' | 'cu puţin doar m...s decît îngerii' |               strip_spaces              | verses |        1        |
|    '     dar ne-ai învrednicit '    |       'dar ne-ai învrednicit '      |               strip_spaces              | verses |        1        |
|   '     de aceeaşi îndoită cinste'  |     'de aceeaşi îndoită cinste'     |               strip_spaces              | verses |        1        |
|     '     ca să-Ţi putem sluji'     |        'ca să-Ţi putem sluji'       |               strip_spaces              | verses |        1        |
| '     şi să-Ţi p... asemenea lor, ' | 'şi să-Ţi putem ... asemenea lor, ' |               strip_spaces              | verses |        1        |
|      '     văd pururea în cer'      |         'văd pururea în cer'        |               strip_spaces              | verses |        1        |
| '     Faţa Tatăl...tru Cel Sfînt, ' | 'Faţa Tatălui no...tru Cel Sfînt, ' |               strip_spaces              | verses |        1        |
| '     apropiind ...asta asemănarea' | 'apropiind prin ...asta asemănarea' |               strip_spaces              | verses |        1        |
| '     şi părtăşi... noastră, cu ei' |     'şi părtăşia noastră, cu ei'    |               strip_spaces              | verses |        1        |
| '     la aceeaşi...emare slăvită, ' |    'la aceeaşi chemare slăvită, '   |               strip_spaces              | verses |        1        |
|     '     în Cer şi pe pămînt, '    |       'în Cer şi pe pămînt, '       |               strip_spaces              | verses |        1        |
| '     şi care eş...e aceeaşi slavă' | 'şi care eşti vr...e aceeaşi slavă' |               strip_spaces              | verses |        1        |
|     '     şi aici ca şi Acolo, '    |       'şi aici ca şi Acolo, '       |               strip_spaces              | verses |        1        |
| '     învrednice...noi cei de aici' | 'învredniceşte-n...noi cei de aici' |               strip_spaces              | verses |        1        |
| '     cum sînt v...ci cei de Acolo' |   'cum sînt vrednici cei de Acolo'  |               strip_spaces              | verses |        1        |
| '     să-Ţi sluj...eeaşi ascultare' | 'să-Ţi slujim cu...eeaşi ascultare' |               strip_spaces              | verses |        1        |
| '     şi să-Ţi c...eaşi dragoste. ' | 'şi să-Ţi cîntăm...eaşi dragoste. ' |               strip_spaces              | verses |        1        |
|       '     preţ de mîntuire'       |          'preţ de mîntuire'         |               strip_spaces              | verses |        1        |
|       '     marea Ta iubire. '      |         'marea Ta iubire. '         |               strip_spaces              | verses |        1        |
|        '     rod şi bucurie'        |           'rod şi bucurie'          |               strip_spaces              | verses |        1        |
|       '     sus în strălucire'      |         'sus în strălucire'         |               strip_spaces              | verses |        1        |
|       '     dulcea fericire. '      |         'dulcea fericire. '         |               strip_spaces              | verses |        1        |
|        '     har şi bucurie'        |           'har şi bucurie'          |               strip_spaces              | verses |        1        |
|      '     a Adevărului Tău. '      |         'a Adevărului Tău. '        |               strip_spaces              | verses |        1        |
| '     din cele m...mple istorisiri' |   'din cele mai simple istorisiri'  |               strip_spaces              | verses |        1        |
| '     haina celo... înţelepciuni. ' | 'haina celor mai... înţelepciuni. ' |               strip_spaces              | verses |        1        |
| '     cele mai D...şti descoperiri' | 'cele mai Dumnez...şti descoperiri' |               strip_spaces              | verses |        1        |
| '     pot cuprin...ai mici lucruri' | 'pot cuprinde ce...ai mici lucruri' |               strip_spaces              | verses |        1        |
| '     şi cîtă în...e mai smerite. ' | 'şi cîtă înălţar...e mai smerite. ' |               strip_spaces              | verses |        1        |
|       '     că nu este nevoie'      |         'că nu este nevoie'         |               strip_spaces              | verses |        1        |
| '     decît de o...te ascultătoare' |   'decît de o minte ascultătoare'   |               strip_spaces              | verses |        1        |
|    '     şi de o inimă curată, '    |       'şi de o inimă curată, '      |               strip_spaces              | verses |        1        |
|       '      ca a pruncilor, '      |          'ca a pruncilor, '         |               strip_spaces              | verses |        1        |
|       '     spre a-L înţelege'      |         'spre a-L înţelege'         |               strip_spaces              | verses |        1        |
|          '     şi cuprinde'         |            'şi cuprinde'            |               strip_spaces              | verses |        1        |
|            '     deplin'            |               'deplin'              |               strip_spaces              | verses |        1        |
|         '     pe Dumnezeu. '        |           'pe Dumnezeu. '           |               strip_spaces              | verses |        1        |
| '     Învăţătoru...ce şi Părintele' | 'Învăţătorul Bun...ce şi Părintele' |               strip_spaces              | verses |        1        |
|    '     Sfînt al lor şi al ei, '   |      'Sfînt al lor şi al ei, '      |               strip_spaces              | verses |        1        |
| '     Te rugăm p...ne în Oastea Ta' | 'Te rugăm primeş...ne în Oastea Ta' |               strip_spaces              | verses |        1        |
| '     dă-ne sabi...iruitorii Tăi. ' | 'dă-ne sabia Ta ...iruitorii Tăi. ' |               strip_spaces              | verses |        1        |
|    '     porunca Ta bunătatea, '    |       'porunca Ta bunătatea, '      |               strip_spaces              | verses |        1        |
| '     mustrarea ...a înţelepciunea' |     'mustrarea Ta înţelepciunea'    |               strip_spaces              | verses |        1        |
|    '     şi pedeapsa Ta, sărutul'   |      'şi pedeapsa Ta, sărutul'      |               strip_spaces              | verses |        1        |
| '     - ajută-ne... pe totdeauna. ' | '- ajută-ne să l... pe totdeauna. ' |               strip_spaces              | verses |        1        |
|   '     după chipul îngerilor Tăi'  |     'după chipul îngerilor Tăi'     |               strip_spaces              | verses |        1        |
| '     frumuseţea... după ochii lor' | 'frumuseţea nepr... după ochii lor' |               strip_spaces              | verses |        1        |
| '     şi Împărăţ...o celor ca ei, ' | 'şi Împărăţia Ce...o celor ca ei, ' |               strip_spaces              | verses |        1        |
| '     Te rugăm f...e pe toţi aşa. ' | 'Te rugăm fă-ne ...e pe toţi aşa. ' |               strip_spaces              | verses |        1        |
| '     La Intrare...i sta Tu Însuţi' | 'La Intrarea Cer...i sta Tu Însuţi' |               strip_spaces              | verses |        1        |
| '     şi vei pri...ce vor fi aşa, ' | 'şi vei primi Ac...ce vor fi aşa, ' |               strip_spaces              | verses |        1        |
| '     - binecuvî...iecare atunci: ' | '- binecuvînteaz...iecare atunci: ' |               strip_spaces              | verses |        1        |
|       '     culcă-te cuminte'       |          'culcă-te cuminte'         |               strip_spaces              | verses |        1        |
|     '     al credinţei sfinte. '    |       'al credinţei sfinte. '       |               strip_spaces              | verses |        1        |
|      '     moale şi fierbinte'      |         'moale şi fierbinte'        |               strip_spaces              | verses |        1        |
|     '     al nădejdii sfinte. '     |        'al nădejdii sfinte. '       |               strip_spaces              | verses |        1        |
|      '     cu cereşti cuvinte'      |         'cu cereşti cuvinte'        |               strip_spaces              | verses |        1        |
|    '     şi-al iubirii sfinte. '    |       'şi-al iubirii sfinte. '      |               strip_spaces              | verses |        1        |
|       '     mîna-i obosită. '       |          'mîna-i obosită. '         |               strip_spaces              | verses |        1        |
|      '     dormi măicuţă dulce'     |        'dormi măicuţă dulce'        |               strip_spaces              | verses |        1        |
|      '     mama să se culce. '      |         'mama să se culce. '        |               strip_spaces              | verses |        1        |
|        '     luna asfinţeşte'       |          'luna asfinţeşte'          |               strip_spaces              | verses |        1        |
|      '     viaţa i-o păzeşte. '     |        'viaţa i-o păzeşte. '        |               strip_spaces              | verses |        1        |
|    '     ca-ntr-un nor de scamă'    |       'ca-ntr-un nor de scamă'      |               strip_spaces              | verses |        1        |
|     '     să nu plîngem mamă. '     |        'să nu plîngem mamă. '       |               strip_spaces              | verses |        1        |
|       '     o să mijlocească'       |          'o să mijlocească'         |               strip_spaces              | verses |        1        |
|      '     să ne mîntuiască. '      |         'să ne mîntuiască. '        |               strip_spaces              | verses |        1        |
|       '     e la Sfîntul Tată'      |         'e la Sfîntul Tată'         |               strip_spaces              | verses |        1        |
|      '     de-orişicare dată. '     |        'de-orişicare dată. '        |               strip_spaces              | verses |        1        |
