502 articles
+-------------------------------+-------------+--------+---------------+---------------+
| Titlu                         |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
+-------------------------------+-------------+--------+---------------+---------------+
| Vol. 4                        | Traian Dorz | poezie |       56      |      149      |
| Osana, Osana...               | Traian Dorz | poezie |       27      |       56      |
| Ziuă scumpă, ziuă sfântă...   | Traian Dorz | poezie |       22      |       60      |
| Dumnezeu este Iubirea         | Traian Dorz | poezie |       30      |       98      |
| Daţi voi Răsărit şi-Apus      | Traian Dorz | poezie |       29      |      107      |
| Suntem prunci                 | Traian Dorz | poezie |       30      |       95      |
| Vântule ce zbori uşor         | Traian Dorz | poezie |       23      |       81      |
| Te binecuvântează             | Traian Dorz | poezie |       23      |       73      |
| Cine seamănă iubire           | Traian Dorz | poezie |       20      |       57      |
| Binecuvântare pentru Daniel   | Traian Dorz | poezie |       28      |       80      |
| Fie-ţi Faţa Domnului          | Traian Dorz | poezie |       25      |       56      |
| Fie Daniela...                | Traian Dorz | poezie |       26      |       68      |
| Soare cu apus frumos          | Traian Dorz | poezie |       22      |       70      |
| Să fie Cristina               | Traian Dorz | poezie |       24      |       64      |
| Mamă care mă iubeşti          | Traian Dorz | poezie |       28      |      124      |
| Dintre câte sunt pe lume      | Traian Dorz | poezie |       27      |       96      |
| Câţi şi câţi                  | Traian Dorz | poezie |       25      |       48      |
| Spune tu, spuneţi voi         | Traian Dorz | poezie |       31      |      125      |
| Cum şi cum...                 | Traian Dorz | poezie |       27      |       52      |
| Cui îi va fi dat              | Traian Dorz | poezie |       30      |       89      |
| Frumosul viitor               | Traian Dorz | poezie |       22      |       89      |
| Numai cei cu gând curat       | Traian Dorz | poezie |       24      |       79      |
| Oricâţi prieteni...           | Traian Dorz | poezie |       25      |       84      |
| Bun e tata, bun...            | Traian Dorz | poezie |       26      |       89      |
| Privesc la cer...             | Traian Dorz | poezie |       31      |      141      |
| O, cum să-Ţi mulţumim?        | Traian Dorz | poezie |       23      |       95      |
| Nu-s numai...                 | Traian Dorz | poezie |       24      |      105      |
| Tată Bun din ceruri           | Traian Dorz | poezie |       27      |      102      |
| Scump Isus, Bun Isus          | Traian Dorz | poezie |       29      |       65      |
| Drag copil orfan              | Traian Dorz | poezie |       29      |       87      |
| Peste cerul dimineţii         | Traian Dorz | poezie |       35      |      103      |
| Va veni odată...              | Traian Dorz | poezie |       19      |       49      |
| Pe-ale mântuirii căi          | Traian Dorz | poezie |       25      |       69      |
| Dintre câte-averi             | Traian Dorz | poezie |       21      |       83      |
| Vom avea odată...             | Traian Dorz | poezie |       23      |       72      |
| Dragoste-a lui Dumnezeu       | Traian Dorz | poezie |       25      |      103      |
| Bunul nostru Tată...          | Traian Dorz | poezie |       19      |       76      |
| Doamne, lângă Tine            | Traian Dorz | poezie |       21      |       76      |
| Cât Îţi datorăm noi Ţie       | Traian Dorz | poezie |       21      |       81      |
| Tu-ai vrut să fim             | Traian Dorz | poezie |       18      |       84      |
| Doamne, pentru Tine...        | Traian Dorz | poezie |       23      |       97      |
| Creşti fiuţul meu...          | Traian Dorz | poezie |       26      |       82      |
| Fii slăvit în cor             | Traian Dorz | poezie |       24      |       64      |
| Ferice-n veci                 | Traian Dorz | poezie |       25      |       88      |
| Tatăl nostru Nevăzut          | Traian Dorz | poezie |       19      |       52      |
| Tatăl nostru, mulţumim        | Traian Dorz | poezie |       19      |       48      |
| Tatăl nostru, fii slăvit      | Traian Dorz | poezie |       25      |       78      |
| Dumnezeu este Viaţa           | Traian Dorz | poezie |       28      |       90      |
| Dumnezeu este-Adevărul        | Traian Dorz | poezie |       22      |       71      |
| Pentru harul Tău              | Traian Dorz | poezie |       26      |       84      |
| Binecuvântează Doamne         | Traian Dorz | poezie |       24      |       74      |
| Dormi odorul meu              | Traian Dorz | poezie |       14      |       50      |
| Dormi fetiţa mea cuminte      | Traian Dorz | poezie |       13      |       40      |
