592 articles
+-------------------------------------+-------------+--------+---------------+---------------+
| Titlu                               |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
+-------------------------------------+-------------+--------+---------------+---------------+
| Naintea Feţei Tale Doamne...        | Traian Dorz | poezie |       30      |      101      |
| Cântarea anilor...                  | Traian Dorz | poezie |       24      |       89      |
| Ce-ndemn adânc te poate             | Traian Dorz | poezie |       21      |       78      |
| Nu mi-am putut nălţa                | Traian Dorz | poezie |       14      |       63      |
| Mă dăruiesc Luminii                 | Traian Dorz | poezie |       26      |      119      |
| Eu n-am aflat întâi Iubirea         | Traian Dorz | poezie |       14      |       56      |
| Nu te-ndoi ci crede                 | Traian Dorz | poezie |       39      |      129      |
| Binecuvântare ţie cea mai           | Traian Dorz | poezie |       34      |      116      |
| Ce sfânt şi nalt curaj              | Traian Dorz | poezie |       24      |      123      |
| Eu nu ştiu Doamne                   | Traian Dorz | poezie |       34      |      158      |
| Te preamărim pe Tine                | Traian Dorz | poezie |       32      |      113      |
| Când Te-am aflat pe Tine            | Traian Dorz | poezie |       34      |      148      |
| O, paşii Tăi prin ceruri            | Traian Dorz | poezie |       9       |       54      |
| Dorurile ne-mplinite                | Traian Dorz | poezie |       19      |       62      |
| Păstrează-mi darul Tău              | Traian Dorz | poezie |       19      |       83      |
| O, har ceresc                       | Traian Dorz | poezie |       29      |      110      |
| Atât de-aproape eşti                | Traian Dorz | poezie |       29      |      124      |
| O suflet din sufletul meu           | Traian Dorz | poezie |       34      |      111      |
| Alături am purtat povara            | Traian Dorz | poezie |       19      |       72      |
| Lumina zilelor senine               | Traian Dorz | poezie |       19      |       73      |
| Mi s-a schimbat înfăţişarea         | Traian Dorz | poezie |       24      |      102      |
| Ajută-ne să Te iubim                | Traian Dorz | poezie |       24      |       90      |
| Noi suntem martori!                 | Traian Dorz | poezie |       24      |       91      |
| Nu mi-am pierdut                    | Traian Dorz | poezie |       19      |      130      |
| Voi cei adânc căzuţi                | Traian Dorz | poezie |       24      |      106      |
| Eu lupt mereu                       | Traian Dorz | poezie |       19      |       57      |
| Frumoasă floare-a toamnei           | Traian Dorz | poezie |       24      |      142      |
| Singurătăţi şi depărtări            | Traian Dorz | poezie |       20      |       80      |
| Voi cei ce-aţi fost                 | Traian Dorz | poezie |       29      |      117      |
| Am suferit prin lume                | Traian Dorz | poezie |       23      |      134      |
| Ce-adânc mă mângâi Tu               | Traian Dorz | poezie |       24      |       93      |
| Îndreaptă-mi inima                  | Traian Dorz | poezie |       24      |       86      |
| Cu proaspătă plăcere                | Traian Dorz | poezie |       23      |      149      |
| Când gânduri negre                  | Traian Dorz | poezie |       27      |      116      |
| Sfinte Tată Bun                     | Traian Dorz | poezie |       27      |       94      |
