664 articles
+----------------------------------+-------------+--------+---------------+---------------+
| Titlu                            |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
+----------------------------------+-------------+--------+---------------+---------------+
| Isuse, o Isuse...                | Traian Dorz | poezie |       49      |      238      |
| Cum zorii cheamă ziua            | Traian Dorz | poezie |       67      |      250      |
| Isuse, Mire Veşnic               | Traian Dorz | poezie |       34      |       97      |
| Nădejdea mea Preafericită        | Traian Dorz | poezie |       29      |      118      |
| De dorul Tău Isus Iubit          | Traian Dorz | poezie |       35      |      138      |
| Cu suflet alb                    | Traian Dorz | poezie |       34      |      158      |
| Dor al dorurilor mele            | Traian Dorz | poezie |       34      |      121      |
| Isus Iubit, a noastră            | Traian Dorz | poezie |       24      |      118      |
| Fericita mea Nădejde             | Traian Dorz | poezie |       29      |      103      |
| Isuse, Plinătate                 | Traian Dorz | poezie |       24      |      131      |
| Isuse, Culme Minunată            | Traian Dorz | poezie |       35      |      158      |
| Fii binecuvântat Isuse           | Traian Dorz | poezie |       24      |      103      |
| Isuse Dulce, urzitorul           | Traian Dorz | poezie |       29      |       99      |
| Fecioară înţeleaptă              | Traian Dorz | poezie |       34      |      208      |
| Isuse, Taina vieţii              | Traian Dorz | poezie |       34      |      123      |
| Isuse Drag, ce Crucea            | Traian Dorz | poezie |       24      |       69      |
| Mai sus, mereu...                | Traian Dorz | poezie |       62      |      254      |
| Se-mprăştie noptarea             | Traian Dorz | poezie |       29      |      177      |
| Isuse Doamne, pentru mine        | Traian Dorz | poezie |       29      |      126      |
| Vin Paştile                      | Traian Dorz | poezie |       44      |      261      |
| Din focul vieţii Tale            | Traian Dorz | poezie |       39      |      105      |
| Părinte-al suferinţei noastre    | Traian Dorz | poezie |       29      |      230      |
| Isuse, Mare fără margini         | Traian Dorz | poezie |       39      |      146      |
| Slăvita noastră Veşnicie         | Traian Dorz | poezie |       39      |      154      |
| Isuse, Soare Dulce               | Traian Dorz | poezie |       39      |      113      |
| Când soarele                     | Traian Dorz | poezie |       14      |       67      |
| De văd...                        | Traian Dorz | poezie |       19      |       56      |
| Lumina veşniciei noastre         | Traian Dorz | poezie |       34      |      130      |
| Isuse, Slava slavei mele         | Traian Dorz | poezie |       29      |      114      |
| Pe Tine Domnul Slavei            | Traian Dorz | poezie |       19      |       85      |
