712 articles
+--------------------------------------+-------------+--------+---------------+---------------+
| Titlu                                |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
+--------------------------------------+-------------+--------+---------------+---------------+
| Cântarea Învierii o, cum             | Traian Dorz | poezie |       19      |       71      |
| Cântarea Învierii, cum Doamne        | Traian Dorz | poezie |       38      |      130      |
| Ce-Ţi voi spune oare Ţie?            | Traian Dorz | poezie |       23      |      165      |
| Laudele Tale                         | Traian Dorz | poezie |       35      |       98      |
| O, Sfântă Faţă-nsângerată            | Traian Dorz | poezie |       29      |      111      |
| Dulce Copilaş Ceresc                 | Traian Dorz | poezie |       33      |      102      |
| Cine să-ntâmpine cântând?            | Traian Dorz | poezie |       23      |       80      |
| Cum tremură lumina                   | Traian Dorz | poezie |       19      |      126      |
| Iubirea-i inima credinţei            | Traian Dorz | poezie |       29      |      103      |
| Frumoasă-ai fost                     | Traian Dorz | poezie |       35      |      115      |
| Iubirea mea, Isuse                   | Traian Dorz | poezie |       29      |      212      |
| Mă uit spre cer                      | Traian Dorz | poezie |       29      |      139      |
| E-atâta pace-aici                    | Traian Dorz | poezie |       31      |      118      |
| Slăvit Isus - ce grabnic             | Traian Dorz | poezie |       29      |      143      |
| Tot drumul meu                       | Traian Dorz | poezie |       26      |      135      |
| De orişiunde am sosit                | Traian Dorz | poezie |       29      |      111      |
| Mi-e dor de-un cer                   | Traian Dorz | poezie |       29      |      122      |
| Oriunde când eram cu Tine            | Traian Dorz | poezie |       32      |      157      |
| Dintre câtă frunză                   | Traian Dorz | poezie |       29      |      145      |
| Tu mi-ai fost Isuse toată            | Traian Dorz | poezie |       29      |       81      |
| Mereu îmi pare rău                   | Traian Dorz | poezie |       31      |      147      |
| Ce mir ceresc                        | Traian Dorz | poezie |       29      |      124      |
| Oricine în genunchi se suie          | Traian Dorz | poezie |       29      |      123      |
| Sunt ochi ce văd                     | Traian Dorz | poezie |       29      |      124      |
| Peste ceasul meu amar                | Traian Dorz | poezie |       35      |      138      |
| Tu n-ai lăsat să fim zdrobiţi        | Traian Dorz | poezie |       31      |      130      |
| Când azi, în faţa ta                 | Traian Dorz | poezie |       29      |      138      |
| Când te-ai înălţat                   | Traian Dorz | poezie |       26      |      117      |
| În ceasul când ispita-i              | Traian Dorz | poezie |       29      |      139      |
| Eu Te-am văzut Isuse                 | Traian Dorz | poezie |       24      |      158      |
| Mai bine-am vrut                     | Traian Dorz | poezie |       29      |      110      |
| Ziua nunţii voastre fie              | Traian Dorz | poezie |       31      |       90      |
| Să nu iubesc nimic                   | Traian Dorz | poezie |       29      |      126      |
| Prevezi-ţi viitorul                  | Traian Dorz | poezie |       18      |      119      |
| Cum se vor face?                     | Traian Dorz | poezie |       26      |      123      |
| Cât încă sunt în lume                | Traian Dorz | poezie |       26      |       96      |
| Să nu privesc                        | Traian Dorz | poezie |       24      |       85      |
| Cel mai mare rău                     | Traian Dorz | poezie |       29      |      122      |
| Vrăjmaşii pot fi tari                | Traian Dorz | poezie |       31      |      148      |
| Cu Tine-am să mă laud                | Traian Dorz | poezie |       23      |      158      |
| Tu n-ai putut să fii                 | Traian Dorz | poezie |       19      |      104      |
| O, cer dorit                         | Traian Dorz | poezie |       29      |      117      |
| Nu-mi suspina iubire                 | Traian Dorz | poezie |       24      |      133      |
| Veniţi şi mai aproape                | Traian Dorz | poezie |       22      |      104      |
| Cu cât mai sus                       | Traian Dorz | poezie |       24      |      110      |
| Îngâmfă-te pitic netrebnic           | Traian Dorz | poezie |       33      |      168      |
| Oriunde doi sau trei                 | Traian Dorz | poezie |       24      |       99      |
| La orice lucru-i vine-o zi           | Traian Dorz | poezie |       29      |      127      |
| Înalţă-te, de vrei smerirea          | Traian Dorz | poezie |       26      |      134      |
| Deschide-mi Doamne ochii             | Traian Dorz | poezie |       31      |      126      |
| Nu-i greu a-i învăţa                 | Traian Dorz | poezie |       31      |      134      |
| Cei care vin de tineri               | Traian Dorz | poezie |       19      |      119      |
| Cât Tatăl Sfânt lucrează             | Traian Dorz | poezie |       34      |      112      |
| Ia jugul lui Hristos                 | Traian Dorz | poezie |       26      |      126      |
| Hristos nu are morţi!                | Traian Dorz | poezie |       26      |      105      |
| Câţi ne-am atins de Domnul           | Traian Dorz | poezie |       31      |      109      |
| Doamne, tot ce ne-ai dat nouă        | Traian Dorz | poezie |       26      |      107      |
| Dumnezeul Îndrăznelii                | Traian Dorz | poezie |       29      |       82      |
| Toate-averile din lume               | Traian Dorz | poezie |       18      |       95      |
| De crezi cu-adevărat                 | Traian Dorz | poezie |       29      |      111      |
| Cei ce-au luptat                     | Traian Dorz | poezie |       25      |      116      |
| Să fac şi eu ca Tine                 | Traian Dorz | poezie |       17      |      100      |
| O, cum să-ntârzie pedeapsa?...       | Traian Dorz | poezie |       19      |      151      |
| Creşti cântare dulce                 | Traian Dorz | poezie |       26      |       76      |
| O, casa mea cerească                 | Traian Dorz | poezie |       14      |       88      |
| Tot ce-mi făgăduieşti tu lume        | Traian Dorz | poezie |       27      |      115      |
| Unde-ţi cauţi tu fericirea?          | Traian Dorz | poezie |       39      |      136      |
| Spre Făptura Ta                      | Traian Dorz | poezie |       17      |      104      |
| Doamne, sunt pe lume oameni          | Traian Dorz | poezie |       17      |       96      |
| Eu nu Ţi-am dat                      | Traian Dorz | poezie |       29      |      120      |
| Te voi iubi nemărginit               | Traian Dorz | poezie |       29      |      119      |
| Să-mi fac din fiecare zi             | Traian Dorz | poezie |       27      |      112      |
| Îmi amintesc plângând                | Traian Dorz | poezie |       31      |      144      |
| Aşa vom trece                        | Traian Dorz | poezie |       26      |       94      |
| În ceasul când trece ispita          | Traian Dorz | poezie |       24      |      124      |
| Fii credincios                       | Traian Dorz | poezie |       29      |      138      |
| Nu-i judecător mai drept             | Traian Dorz | poezie |       26      |      113      |
| Cum să Te slăvim Isuse?              | Traian Dorz | poezie |       29      |      146      |
| Isus, tot ce primim...               | Traian Dorz | poezie |       29      |      117      |
| Cât ne-am încrezut în Tine           | Traian Dorz | poezie |       29      |      105      |
| Toate cântă-cântă                    | Traian Dorz | poezie |       26      |      128      |
| Iubire fii-mi dascăl                 | Traian Dorz | poezie |       29      |       94      |
| Isuse, Tu eşti Miezul                | Traian Dorz | poezie |       29      |       99      |
| Tu Cel ce-mi vii                     | Traian Dorz | poezie |       17      |       93      |
| Când duhul meu                       | Traian Dorz | poezie |       24      |      140      |
