+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       1748      |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       1694      |
|                'cînd'               |                'când'               |              replace_words              | verses |       418       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       303       |
|                'pînă'               |                'până'               |              replace_words              | verses |       250       |
|                'cît'                |                'cât'                |              replace_words              | verses |       180       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       156       |
|               'decît'               |               'decât'               |              replace_words              | verses |       137       |
|            '      Amin. '           |               'Amin. '              |               strip_spaces              | verses |       131       |
|            '      Amin. '           |            '      Amin. '           |               replace_nbsp              | verses |       131       |
|                'atît'               |                'atât'               |              replace_words              | verses |       124       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       121       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |       115       |
| '               ...              +' |                 '+'                 |               strip_spaces              | verses |       112       |
| '               ...              +' | '               ...              +' |               replace_nbsp              | verses |       112       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |        89       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        86       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        78       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        72       |
|               '      '              |                  ''                 |               strip_spaces              | verses |        66       |
|               '      '              |               '      '              |               replace_nbsp              | verses |        66       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        64       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        57       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        53       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        50       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        48       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        46       |
|                 '. '                |                 '.'                 |               strip_spaces              | verses |        45       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        44       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        43       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        42       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        42       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        39       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        39       |
|              'Sîngele'              |              'Sângele'              |              replace_words              | verses |        33       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        32       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        31       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        29       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        29       |
|               'rămîi'               |               'rămâi'               |              replace_words              | verses |        28       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        27       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        26       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        25       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        24       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        24       |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        23       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        23       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        23       |
|               'încît'               |               'încât'               |              replace_words              | verses |        22       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        21       |
