+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 'T-'                |                  ''                 |          remove_invalid_verses          | verses |       618       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       423       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       423       |
|                'cînd'               |                'când'               |              replace_words              | verses |       414       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       296       |
|                'pînă'               |                'până'               |              replace_words              | verses |       248       |
|                'cît'                |                'cât'                |              replace_words              | verses |       180       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       149       |
|               'decît'               |               'decât'               |              replace_words              | verses |       134       |
|            '     Amin. '            |               'Amin.'               |               strip_spaces              | verses |       127       |
|            '     Amin. '            |            '     Amin. '            |               replace_nbsp              | verses |       127       |
|                'atît'               |                'atât'               |              replace_words              | verses |       123       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       116       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |       114       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |        86       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        85       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        74       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        70       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        64       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        57       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        53       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        48       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        46       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        44       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        43       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        43       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        42       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        41       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        39       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        38       |
|              'Sîngele'              |              'Sângele'              |              replace_words              | verses |        33       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        31       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        30       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        29       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        27       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        27       |
|               'rămîi'               |               'rămâi'               |              replace_words              | verses |        27       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        26       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        25       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        24       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        24       |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        23       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        23       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        22       |
|               'încît'               |               'încât'               |              replace_words              | verses |        22       |
|                'pîn'                |                'pân'                |              replace_words              | verses |        21       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        20       |
