+-------------------------------------+-------------------------------------+-----------------------------------------+-----------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |    Câmp   | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+-----------+-----------------+
|                 ' '                 |                  ''                 |               strip_spaces              |   verses  |       1452      |
|                 ' '                 |                 ' '                 |               replace_nbsp              |   verses  |       1394      |
|                'cînd'               |                'când'               |              replace_words              |   verses  |       549       |
|                'sînt'               |                'sunt'               |              replace_words              |   verses  |       345       |
|                'cît'                |                'cât'                |              replace_words              |   verses  |       244       |
|                'pînă'               |                'până'               |              replace_words              |   verses  |       211       |
|               'decît'               |               'decât'               |              replace_words              |   verses  |       189       |
|            '      Amin. '           |               'Amin. '              |               strip_spaces              |   verses  |       179       |
|            '      Amin. '           |            '      Amin. '           |               replace_nbsp              |   verses  |       179       |
|                'atît'               |                'atât'               |              replace_words              |   verses  |       171       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              |   verses  |       166       |
|                'Cînd'               |                'Când'               |              replace_words              |   verses  |       149       |
|               'Pîinea'              |               'Pâinea'              |              replace_words              | full_book |       145       |
|               'Pîinea'              |               'Pâinea'              |              replace_words              |    book   |       145       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              |   verses  |       110       |
|               'pămînt'              |               'pământ'              |              replace_words              |   verses  |        89       |
| '               ...              +' |                 '+'                 |               strip_spaces              |   verses  |        85       |
| '               ...              +' | '               ...              +' |               replace_nbsp              |   verses  |        85       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              |   verses  |        66       |
|                'cîte'               |                'câte'               |              replace_words              |   verses  |        65       |
|               'lîngă'               |               'lângă'               |              replace_words              |   verses  |        62       |
|               'adînc'               |               'adânc'               |              replace_words              |   verses  |        60       |
|               'curînd'              |               'curând'              |              replace_words              |   verses  |        59       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              |   verses  |        57       |
|               'rămîne'              |               'rămâne'              |              replace_words              |   verses  |        55       |
|               '      '              |                  ''                 |               strip_spaces              |   verses  |        54       |
|               '      '              |               '      '              |               replace_nbsp              |   verses  |        54       |
|               'atîta'               |               'atâta'               |              replace_words              |   verses  |        49       |
