314 articles
+------------------------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                                      |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
+------------------------------------------------------------+-------------+---------+---------------+---------------+
| Isus Hristos, Dumnezeul şi Păstorul nostru Cel Bun, a spus | Traian Dorz | articol |       31      |      168      |
| Rugăciune                                                  | Traian Dorz | articol |       37      |      135      |
| Slavă, slavă, slavă Ţie                                    | Traian Dorz |  poezie |       29      |       98      |
| Cine nu intră pe uşă...                                    | Traian Dorz | articol |       62      |      857      |
| Ce ne-a-ntărit?                                            | Traian Dorz |  poezie |       34      |      214      |
| Cine intră pe uşă este păstorul...                         | Traian Dorz | articol |       63      |      804      |
| Câte rădăcini ascunse                                      | Traian Dorz |  poezie |       41      |      127      |
| Îşi caută oile pe nume...                                  | Traian Dorz | articol |       60      |      733      |
| Ce poate-un om?...                                         | Traian Dorz |  poezie |       34      |      120      |
| Merge înaintea lor                                         | Traian Dorz | articol |       48      |      599      |
| Cât de curată                                              | Traian Dorz |  poezie |       21      |      126      |
| Nu merg deloc după un străin                               | Traian Dorz | articol |       48      |      621      |
| Cum cerul larg                                             | Traian Dorz |  poezie |       25      |      151      |
| Dar ei n-au înţeles...                                     | Traian Dorz | articol |       57      |      904      |
| În noaptea lumii                                           | Traian Dorz |  poezie |       36      |      140      |
| Isus le-a zis: Eu sunt...                                  | Traian Dorz | articol |       39      |      606      |
| Binecuvântat e-acela                                       | Traian Dorz |  poezie |       26      |      111      |
| Hoţi şi tâlhari                                            | Traian Dorz | articol |       60      |      1015     |
| Adeseori în lupte                                          | Traian Dorz |  poezie |       26      |      181      |
| Eu sunt Uşa                                                | Traian Dorz | articol |       58      |      853      |
| Ci parcă numai...                                          | Traian Dorz |  poezie |       27      |      182      |
| Hoţul nu vine decât să fure...                             | Traian Dorz | articol |       49      |      916      |
| Ce grea-i ades                                             | Traian Dorz |  poezie |       29      |      144      |
| Păstorul Cel Bun...                                        | Traian Dorz | articol |       70      |      985      |
| Blândul Păstor                                             | Traian Dorz |  poezie |       52      |      185      |
| Dar cel plătit lasă oile                                   | Traian Dorz | articol |       64      |      806      |
| Tu ai văzut!                                               | Traian Dorz |  poezie |       35      |      151      |
| Celui plătit... nu-i pasă                                  | Traian Dorz | articol |       52      |      928      |
| Aşteaptă                                                   | Traian Dorz |  poezie |       26      |      111      |
| Eu Îmi cunosc oile Mele                                    | Traian Dorz | articol |       67      |      950      |
| N-am fraţi                                                 | Traian Dorz |  poezie |       21      |      100      |
| Aşa cum cunosc Eu pe Tatăl                                 | Traian Dorz | articol |       74      |      766      |
| O, creşte-mi râvna                                         | Traian Dorz |  poezie |       29      |      127      |
| Mai am şi alte oi                                          | Traian Dorz | articol |       60      |      967      |
| Cum aş putea eu spune?                                     | Traian Dorz |  poezie |       25      |      142      |
| Şi va fi o turmă şi un Păstor                              | Traian Dorz | articol |       55      |      946      |
| Viitorul e-al Iubirii                                      | Traian Dorz |  poezie |       45      |      133      |
| Tatăl Mă iubeşte                                           | Traian Dorz | articol |       35      |      560      |
| Tot mai lăuntru                                            | Traian Dorz |  poezie |       31      |      118      |
| Nimeni nu Mi-o ia cu sila, ci o dau Eu                     | Traian Dorz | articol |       39      |      601      |
