+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 'T-'                |                  ''                 |          remove_invalid_verses          | verses |       681       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       519       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       519       |
|                'cînd'               |                'când'               |              replace_words              | verses |       421       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       276       |
|                'cît'                |                'cât'                |              replace_words              | verses |       258       |
|                'pînă'               |                'până'               |              replace_words              | verses |       192       |
|               'decît'               |               'decât'               |              replace_words              | verses |       184       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       174       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |       157       |
|                'atît'               |                'atât'               |              replace_words              | verses |       146       |
|            '     Amin. '            |               'Amin.'               |               strip_spaces              | verses |        96       |
|            '     Amin. '            |            '     Amin. '            |               replace_nbsp              | verses |        96       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |        88       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        71       |
|                'cîte'               |                'câte'               |              replace_words              | verses |        64       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |        58       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        49       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        48       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        48       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        47       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        46       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        46       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        44       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        44       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        42       |
|    '                           +'   |                 '+'                 |               strip_spaces              | verses |        36       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        36       |
|    '                           +'   |    '                           +'   |               replace_nbsp              | verses |        36       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        32       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        32       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        31       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        30       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        29       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        27       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        26       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        25       |
|               'încît'               |               'încât'               |              replace_words              | verses |        24       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        23       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        23       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        22       |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        22       |
|               'pîinea'              |               'pâinea'              |              replace_words              | verses |        21       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        21       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        20       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        20       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        20       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        19       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        19       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        18       |
|             'gîndurile'             |             'gândurile'             |              replace_words              | verses |        17       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        17       |
|              'sînteţi'              |              'sunteţi'              |              replace_words              | verses |        17       |
|               'rămînă'              |               'rămână'              |              replace_words              | verses |        16       |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        16       |
|              'rînduit'              |              'rânduit'              |              replace_words              | verses |        16       |
|               'pîine'               |               'pâine'               |              replace_words              | verses |        16       |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        15       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        15       |
|               'avînd'               |               'având'               |              replace_words              | verses |        14       |
|               'adîncă'              |               'adâncă'              |              replace_words              | verses |        14       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        14       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        14       |
|               'Oricît'              |               'Oricât'              |              replace_words              | verses |        14       |
|              'vînzător'             |              'vânzător'             |              replace_words              | verses |        14       |
|              'strînge'              |              'strânge'              |              replace_words              | verses |        14       |
