+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                'cînd'               |                'când'               |              replace_words              | verses |       811       |
|                'pînă'               |                'până'               |              replace_words              | verses |       529       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       426       |
|                'atît'               |                'atât'               |              replace_words              | verses |       403       |
|                'cît'                |                'cât'                |              replace_words              | verses |       402       |
|               'decît'               |               'decât'               |              replace_words              | verses |       351       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       222       |
|                'cîte'               |                'câte'               |              replace_words              | verses |       193       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |       184       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       118       |
|               'încît'               |               'încât'               |              replace_words              | verses |       117       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |       110       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        98       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        94       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |        93       |
|               'cîteva'              |               'câteva'              |              replace_words              | verses |        93       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        90       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        76       |
|               '      '              |                  ''                 |               strip_spaces              | verses |        75       |
|               '      '              |               '      '              |               replace_nbsp              | verses |        75       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        74       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        72       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        68       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        67       |
|              'mîncare'              |              'mâncare'              |              replace_words              | verses |        63       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        62       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        62       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        58       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        58       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        57       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        54       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        54       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        53       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        51       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        50       |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        49       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        48       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        46       |
|                'mînă'               |                'mână'               |              replace_words              | verses |        45       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |        44       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        43       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |        41       |
|              'rînduri'              |              'rânduri'              |              replace_words              | verses |        40       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        39       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        38       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        35       |
|             'întîmplat'             |             'întâmplat'             |              replace_words              | verses |        35       |
|               'cîţiva'              |               'câţiva'              |              replace_words              | verses |        34       |
|              'amîndoi'              |              'amândoi'              |              replace_words              | verses |        34       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        32       |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        32       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        32       |
|               'pîine'               |               'pâine'               |              replace_words              | verses |        32       |
