+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                'cînd'               |                'când'               |              replace_words              | verses |       623       |
|                'pînă'               |                'până'               |              replace_words              | verses |       521       |
|                'atît'               |                'atât'               |              replace_words              | verses |       500       |
|                 'T-'                |                  ''                 |          remove_invalid_verses          | verses |       473       |
|                'cît'                |                'cât'                |              replace_words              | verses |       458       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       410       |
|               'decît'               |               'decât'               |              replace_words              | verses |       207       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |       144       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |       125       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |       125       |
|               'cîteva'              |               'câteva'              |              replace_words              | verses |       125       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |       124       |
|                'cîte'               |                'câte'               |              replace_words              | verses |       124       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |       115       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       112       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |       106       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |        90       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        83       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |        82       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |        82       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        78       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        76       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        72       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        62       |
|               'dînsul'              |               'dânsul'              |              replace_words              | verses |        59       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        57       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        57       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        55       |
|             'mormîntul'             |             'mormântul'             |              replace_words              | verses |        55       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        54       |
|               'încît'               |               'încât'               |              replace_words              | verses |        50       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        49       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        47       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        46       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        45       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        44       |
|              'cîntarea'             |              'cântarea'             |              replace_words              | verses |        44       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        42       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        42       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        42       |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        42       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        39       |
|               'cîţiva'              |               'câţiva'              |              replace_words              | verses |        39       |
|              'rînduri'              |              'rânduri'              |              replace_words              | verses |        38       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        38       |
|               'atîţia'              |               'atâţia'              |              replace_words              | verses |        37       |
|                'mînă'               |                'mână'               |              replace_words              | verses |        36       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        35       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        35       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        33       |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        33       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        33       |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        32       |
|              'cîntare'              |              'cântare'              |              replace_words              | verses |        31       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        30       |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        30       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        29       |
|              'sînteţi'              |              'sunteţi'              |              replace_words              | verses |        29       |
|               'tînăr'               |               'tânăr'               |              replace_words              | verses |        29       |
|             'cîntările'             |             'cântările'             |              replace_words              | verses |        29       |
|               'rămînă'              |               'rămână'              |              replace_words              | verses |        28       |
|              'spunînd'              |              'spunând'              |              replace_words              | verses |        28       |
|           'Mîntuitorului'           |           'Mântuitorului'           |              replace_words              | verses |        26       |
|              'rugîndu'              |              'rugându'              |              replace_words              | verses |        26       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        26       |
|              'amîndoi'              |              'amândoi'              |              replace_words              | verses |        26       |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        25       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        25       |
|             'Sfîntului'             |             'Sfântului'             |              replace_words              | verses |        25       |
|               'Cuvînt'              |               'Cuvânt'              |              replace_words              | verses |        25       |
|              'bătrîni'              |              'bătrâni'              |              replace_words              | verses |        24       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        24       |
|               'bătrîn'              |               'bătrân'              |              replace_words              | verses |        23       |
|               'sînul'               |               'sânul'               |              replace_words              | verses |        23       |
|               'gîndit'              |               'gândit'              |              replace_words              | verses |        23       |
|            '     Amin. '            |               'Amin.'               |               strip_spaces              | verses |        22       |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        22       |
|           'binecuvîntare'           |           'binecuvântare'           |              replace_words              | verses |        22       |
|            '     Amin. '            |            '     Amin. '            |               replace_nbsp              | verses |        22       |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        21       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        21       |
|               'avînd'               |               'având'               |              replace_words              | verses |        21       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        21       |
|              'rînduit'              |              'rânduit'              |              replace_words              | verses |        20       |
|               'rîndul'              |               'rândul'              |              replace_words              | verses |        20       |
|               'făcînd'              |               'făcând'              |              replace_words              | verses |        20       |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        19       |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        19       |
|              'întîlnit'             |              'întâlnit'             |              replace_words              | verses |        19       |
|             'săptămînă'             |             'săptămână'             |              replace_words              | verses |        18       |
|              'Cîntări'              |              'Cântări'              |              replace_words              | verses |        18       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        18       |
|              'fîntîni'              |              'fântâni'              |              replace_words              | verses |        18       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        17       |
|             'aşteptînd'             |             'aşteptând'             |              replace_words              | verses |        17       |
|                'Cîte'               |                'Câte'               |              replace_words              | verses |        17       |
|              'trecînd'              |              'trecând'              |              replace_words              | verses |        17       |
|              'începînd'             |              'începând'             |              replace_words              | verses |        16       |
|             'pămîntului'            |             'pământului'            |              replace_words              | verses |        16       |
|             'hotărîrea'             |             'hotărârea'             |              replace_words              | verses |        16       |
|           'binecuvîntarea'          |           'binecuvântarea'          |              replace_words              | verses |        16       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        16       |
|             'săptămîni'             |             'săptămâni'             |              replace_words              | verses |        16       |
|              'sîmbătă'              |              'sâmbătă'              |              replace_words              | verses |        16       |
|              'întîmpla'             |              'întâmpla'             |              replace_words              | verses |        15       |
|           'binecuvîntată'           |           'binecuvântată'           |              replace_words              | verses |        15       |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        14       |
|              'amîndouă'             |              'amândouă'             |              replace_words              | verses |        14       |
|              'plîngînd'             |              'plângând'             |              replace_words              | verses |        14       |
|              'căutînd'              |              'căutând'              |              replace_words              | verses |        14       |
|              'hotărîre'             |              'hotărâre'             |              replace_words              | verses |        14       |
|              'lucrînd'              |              'lucrând'              |              replace_words              | verses |        14       |
|                'Atît'               |                'Atât'               |              replace_words              | verses |        14       |
|              'sfîntul'              |              'sfântul'              |              replace_words              | verses |        14       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        14       |
|             'întîmplat'             |             'întâmplat'             |              replace_words              | verses |        14       |
|              'mîncare'              |              'mâncare'              |              replace_words              | verses |        14       |
|               'văzînd'              |               'văzând'              |              replace_words              | verses |        14       |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        14       |
|              'întîmplă'             |              'întâmplă'             |              replace_words              | verses |        13       |
|              'văzîndu'              |              'văzându'              |              replace_words              | verses |        13       |
|             'rîndurile'             |             'rândurile'             |              replace_words              | verses |        13       |
|              'făcîndu'              |              'făcându'              |              replace_words              | verses |        13       |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        13       |
|              'rămînem'              |              'rămânem'              |              replace_words              | verses |        13       |
|              'gîndesc'              |              'gândesc'              |              replace_words              | verses |        13       |
|             'întîmplări'            |             'întâmplări'            |              replace_words              | verses |        13       |
|               'cîntă'               |               'cântă'               |              replace_words              | verses |        13       |
|               'gîndi'               |               'gândi'               |              replace_words              | verses |        13       |
|               'vîrstă'              |               'vârstă'              |              replace_words              | verses |        12       |
|               'adîncă'              |               'adâncă'              |              replace_words              | verses |        12       |
|              'cîntării'             |              'cântării'             |              replace_words              | verses |        12       |
|              'gîndeam'              |              'gândeam'              |              replace_words              | verses |        12       |
|              'spunîndu'             |              'spunându'             |              replace_words              | verses |        12       |
|               'cînta'               |               'cânta'               |              replace_words              | verses |        12       |
|           'binecuvîntate'           |           'binecuvântate'           |              replace_words              | verses |        12       |
|               'pîinea'              |               'pâinea'              |              replace_words              | verses |        11       |
|               'strîng'              |               'strâng'              |              replace_words              | verses |        11       |
|            'mîntuitoare'            |            'mântuitoare'            |              replace_words              | verses |        11       |
|               'cerînd'              |               'cerând'              |              replace_words              | verses |        11       |
|           'binecuvîntează'          |           'binecuvântează'          |              replace_words              | verses |        11       |
|             'gîndurile'             |             'gândurile'             |              replace_words              | verses |        11       |
|               'Văzînd'              |               'Văzând'              |              replace_words              | verses |        11       |
|               'luînd'               |               'luând'               |              replace_words              | verses |        11       |
|               'zicînd'              |               'zicând'              |              replace_words              | verses |        11       |
|               'Sfînta'              |               'Sfânta'              |              replace_words              | verses |        11       |
|              'întîmple'             |              'întâmple'             |              replace_words              | verses |        11       |
|               'tînără'              |               'tânără'              |              replace_words              | verses |        11       |
|               'Sîntem'              |               'Suntem'              |              replace_words              | verses |        11       |
|               'cîntat'              |               'cântat'              |              replace_words              | verses |        11       |
|           'binecuvîntări'           |           'binecuvântări'           |              replace_words              | verses |        11       |
|              'întîlni'              |              'întâlni'              |              replace_words              | verses |        10       |
|             'întîlniri'             |             'întâlniri'             |              replace_words              | verses |        10       |
|              'hotărîţi'             |              'hotărâţi'             |              replace_words              | verses |        10       |
|              'aducînd'              |              'aducând'              |              replace_words              | verses |        10       |
|             'cuprinzînd'            |             'cuprinzând'            |              replace_words              | verses |        10       |
|              'Scînteia'             |              'Scânteia'             |              replace_words              | verses |        10       |
|             '     - Da!'            |               '- Da!'               |               strip_spaces              | verses |        9        |
|               'pîine'               |               'pâine'               |              replace_words              | verses |        9        |
|              'mergînd'              |              'mergând'              |              replace_words              | verses |        9        |
|               'stînd'               |               'stând'               |              replace_words              | verses |        9        |
|             'mîngîiere'             |             'mângâiere'             |              replace_words              | verses |        9        |
|               'osînda'              |               'osânda'              |              replace_words              | verses |        9        |
|               'adînci'              |               'adânci'              |              replace_words              | verses |        9        |
|               'Întîi'               |               'Întâi'               |              replace_words              | verses |        9        |
|              'strînsă'              |              'strânsă'              |              replace_words              | verses |        9        |
|               'stînga'              |               'stânga'              |              replace_words              | verses |        9        |
|              'izbînda'              |              'izbânda'              |              replace_words              | verses |        9        |
|               'cîtva'               |               'câtva'               |              replace_words              | verses |        9        |
|             'Cîntările'             |             'Cântările'             |              replace_words              | verses |        9        |
|            'mormîntului'            |            'mormântului'            |              replace_words              | verses |        9        |
|             'întîmplare'            |             'întâmplare'            |              replace_words              | verses |        9        |
|              'Cîntarea'             |              'Cântarea'             |              replace_words              | verses |        9        |
|             '     - Da!'            |             '     - Da!'            |               replace_nbsp              | verses |        9        |
|              'lăsîndu'              |              'lăsându'              |              replace_words              | verses |        8        |
|                'gît'                |                'gât'                |              replace_words              | verses |        8        |
|              'hotărîri'             |              'hotărâri'             |              replace_words              | verses |        8        |
|              'rămînînd'             |              'rămânând'             |              replace_words              | verses |        8        |
|               'vîrful'              |               'vârful'              |              replace_words              | verses |        8        |
|                'dînd'               |                'dând'               |              replace_words              | verses |        8        |
|               'luîndu'              |               'luându'              |              replace_words              | verses |        8        |
|                'pîn'                |                'pân'                |              replace_words              | verses |        8        |
|               'cînte'               |               'cânte'               |              replace_words              | verses |        8        |
|            'înmormîntat'            |            'înmormântat'            |              replace_words              | verses |        8        |
|              'Mîinile'              |              'Mâinile'              |              replace_words              | verses |        8        |
|              'umplînd'              |              'umplând'              |              replace_words              | verses |        8        |
|               'pînza'               |               'pânza'               |              replace_words              | verses |        8        |
|            'sfîşietoare'            |            'sfâşietoare'            |              replace_words              | verses |        7        |
|               'rîvnă'               |               'râvnă'               |              replace_words              | verses |        7        |
|              'întrucît'             |              'întrucât'             |              replace_words              | verses |        7        |
|               'rîvna'               |               'râvna'               |              replace_words              | verses |        7        |
|              'gîndiţi'              |              'gândiţi'              |              replace_words              | verses |        7        |
|              'mîncarea'             |              'mâncarea'             |              replace_words              | verses |        7        |
|               'hîrtie'              |               'hârtie'              |              replace_words              | verses |        7        |
|                'Cîtă'               |                'Câtă'               |              replace_words              | verses |        7        |
|              'cîntînd'              |              'cântând'              |              replace_words              | verses |        7        |
