+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                'cînd'               |                'când'               |              replace_words              | verses |       696       |
|                'pînă'               |                'până'               |              replace_words              | verses |       567       |
|                'cît'                |                'cât'                |              replace_words              | verses |       426       |
|                'atît'               |                'atât'               |              replace_words              | verses |       350       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       331       |
|               'decît'               |               'decât'               |              replace_words              | verses |       277       |
|                'cîte'               |                'câte'               |              replace_words              | verses |       240       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       205       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |       193       |
|               'cîteva'              |               'câteva'              |              replace_words              | verses |       137       |
|               'încît'               |               'încât'               |              replace_words              | verses |        98       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        97       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        88       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        80       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        80       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        77       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        74       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        66       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |        64       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |        62       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |        60       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        58       |
|               '      '              |                  ''                 |               strip_spaces              | verses |        57       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        57       |
|               '      '              |               '      '              |               replace_nbsp              | verses |        57       |
|              'mîncare'              |              'mâncare'              |              replace_words              | verses |        54       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        52       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        52       |
|                'mînă'               |                'mână'               |              replace_words              | verses |        50       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        48       |
|              'amîndoi'              |              'amândoi'              |              replace_words              | verses |        48       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        43       |
|               'cîţiva'              |               'câţiva'              |              replace_words              | verses |        43       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        42       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        42       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        41       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        40       |
|                 '. '                |                 '.'                 |               strip_spaces              | verses |        39       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        39       |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        39       |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        38       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        38       |
|               'rămîne'              |               'rămâne'              |              replace_words              | verses |        36       |
|              'rînduri'              |              'rânduri'              |              replace_words              | verses |        36       |
|             'săptămîni'             |             'săptămâni'             |              replace_words              | verses |        36       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        35       |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        35       |
|               'pîine'               |               'pâine'               |              replace_words              | verses |        34       |
|             'săptămînă'             |             'săptămână'             |              replace_words              | verses |        34       |
|                'cîţi'               |                'câţi'               |              replace_words              | verses |        33       |
|             'Mîntuitor'             |             'Mântuitor'             |              replace_words              | verses |        32       |
|              'cuvîntul'             |              'cuvântul'             |              replace_words              | verses |        31       |
|                'cîmp'               |                'câmp'               |              replace_words              | verses |        31       |
|             'sfîrşitul'             |             'sfârşitul'             |              replace_words              | verses |        31       |
|              'plîngînd'             |              'plângând'             |              replace_words              | verses |        29       |
|              'mîncarea'             |              'mâncarea'             |              replace_words              | verses |        29       |
|                'gînd'               |                'gând'               |              replace_words              | verses |        29       |
|              'Mîinile'              |              'Mâinile'              |              replace_words              | verses |        29       |
|              'cîntări'              |              'cântări'              |              replace_words              | verses |        29       |
|               'rămînă'              |               'rămână'              |              replace_words              | verses |        27       |
|              'pămîntul'             |              'pământul'             |              replace_words              | verses |        27       |
|                'Cît'                |                'Cât'                |              replace_words              | verses |        26       |
|               'cîndva'              |               'cândva'              |              replace_words              | verses |        26       |
|             'legămîntul'            |             'legământul'            |              replace_words              | verses |        26       |
|               'gîndul'              |               'gândul'              |              replace_words              | verses |        25       |
|           'Mîntuitorului'           |           'Mântuitorului'           |              replace_words              | verses |        25       |
|               'oricît'              |               'oricât'              |              replace_words              | verses |        25       |
|              'gîndeam'              |              'gândeam'              |              replace_words              | verses |        24       |
|               'făcînd'              |               'făcând'              |              replace_words              | verses |        24       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |        24       |
|              'întîmplă'             |              'întâmplă'             |              replace_words              | verses |        23       |
|                'Mîna'               |                'Mâna'               |              replace_words              | verses |        23       |
|              'rugîndu'              |              'rugându'              |              replace_words              | verses |        23       |
|              'trecînd'              |              'trecând'              |              replace_words              | verses |        23       |
|               'dintîi'              |               'dintâi'              |              replace_words              | verses |        22       |
|             'mormîntul'             |             'mormântul'             |              replace_words              | verses |        22       |
|              'amîndouă'             |              'amândouă'             |              replace_words              | verses |        21       |
|               'atîţia'              |               'atâţia'              |              replace_words              | verses |        21       |
|              'cîntarea'             |              'cântarea'             |              replace_words              | verses |        21       |
|               'văzînd'              |               'văzând'              |              replace_words              | verses |        21       |
|               'gîndit'              |               'gândit'              |              replace_words              | verses |        19       |
|               'bătrîn'              |               'bătrân'              |              replace_words              | verses |        19       |
|              'legămînt'             |              'legământ'             |              replace_words              | verses |        19       |
|             'întîmplat'             |             'întâmplat'             |              replace_words              | verses |        18       |
|             'întîmplări'            |             'întâmplări'            |              replace_words              | verses |        18       |
|              'făcîndu'              |              'făcându'              |              replace_words              | verses |        18       |
|                'Cîte'               |                'Câte'               |              replace_words              | verses |        18       |
|              'oricînd'              |              'oricând'              |              replace_words              | verses |        17       |
|             'mîntuirii'             |             'mântuirii'             |              replace_words              | verses |        17       |
|              'întîmpla'             |              'întâmpla'             |              replace_words              | verses |        17       |
|              'Cîntări'              |              'Cântări'              |              replace_words              | verses |        17       |
|              'întîlnit'             |              'întâlnit'             |              replace_words              | verses |        16       |
|               'stînd'               |               'stând'               |              replace_words              | verses |        16       |
|               'strîns'              |               'strâns'              |              replace_words              | verses |        16       |
|              'începînd'             |              'începând'             |              replace_words              | verses |        16       |
|               'rîndul'              |               'rândul'              |              replace_words              | verses |        16       |
|              'sîngele'              |              'sângele'              |              replace_words              | verses |        15       |
|               'rămîn'               |               'rămân'               |              replace_words              | verses |        15       |
|                'grîu'               |                'grâu'               |              replace_words              | verses |        15       |
|             'aşteptînd'             |             'aşteptând'             |              replace_words              | verses |        15       |
|               'plîns'               |               'plâns'               |              replace_words              | verses |        15       |
|              'mormînt'              |              'mormânt'              |              replace_words              | verses |        15       |
|              'sînteţi'              |              'sunteţi'              |              replace_words              | verses |        15       |
|               'Sîntem'              |               'Suntem'              |              replace_words              | verses |        15       |
|              'cîntare'              |              'cântare'              |              replace_words              | verses |        14       |
|                'Cîtă'               |                'Câtă'               |              replace_words              | verses |        14       |
|               'pîinea'              |               'pâinea'              |              replace_words              | verses |        14       |
|               'stînga'              |               'stânga'              |              replace_words              | verses |        14       |
|            'binecuvîntat'           |            'binecuvântat'           |              replace_words              | verses |        14       |
|             'Cîntările'             |             'Cântările'             |              replace_words              | verses |        14       |
|               'vîrful'              |               'vârful'              |              replace_words              | verses |        14       |
|              'gînduri'              |              'gânduri'              |              replace_words              | verses |        14       |
|              'intrînd'              |              'intrând'              |              replace_words              | verses |        14       |
|              'spunînd'              |              'spunând'              |              replace_words              | verses |        14       |
|               'rîzînd'              |               'râzând'              |              replace_words              | verses |        14       |
|             'Sfîntului'             |             'Sfântului'             |              replace_words              | verses |        13       |
|               'luîndu'              |               'luându'              |              replace_words              | verses |        13       |
|              'cîntînd'              |              'cântând'              |              replace_words              | verses |        13       |
|              'uitîndu'              |              'uitându'              |              replace_words              | verses |        13       |
|               'tînăr'               |               'tânăr'               |              replace_words              | verses |        13       |
|              'rînduit'              |              'rânduit'              |              replace_words              | verses |        12       |
|             'gîndurile'             |             'gândurile'             |              replace_words              | verses |        12       |
|               'luînd'               |               'luând'               |              replace_words              | verses |        12       |
|              'gîndesc'              |              'gândesc'              |              replace_words              | verses |        12       |
|             'Cuvîntului'            |             'Cuvântului'            |              replace_words              | verses |        12       |
|               'trînti'              |               'trânti'              |              replace_words              | verses |        12       |
|             'cîntările'             |             'cântările'             |              replace_words              | verses |        11       |
|               'avînd'               |               'având'               |              replace_words              | verses |        11       |
|               'zicînd'              |               'zicând'              |              replace_words              | verses |        11       |
|              'zicîndu'              |              'zicându'              |              replace_words              | verses |        11       |
|               'sînge'               |               'sânge'               |              replace_words              | verses |        11       |
|              'lăsîndu'              |              'lăsându'              |              replace_words              | verses |        11       |
|               'vîndut'              |               'vândut'              |              replace_words              | verses |        11       |
|               'adîncă'              |               'adâncă'              |              replace_words              | verses |        11       |
|             'întîlnire'             |             'întâlnire'             |              replace_words              | verses |        11       |
|             'pămîntului'            |             'pământului'            |              replace_words              | verses |        11       |
|             'mîngîiere'             |             'mângâiere'             |              replace_words              | verses |        11       |
|              'sîmbătă'              |              'sâmbătă'              |              replace_words              | verses |        11       |
|              'spunîndu'             |              'spunându'             |              replace_words              | verses |        11       |
|              'întîlni'              |              'întâlni'              |              replace_words              | verses |        11       |
|               'cîtva'               |               'câtva'               |              replace_words              | verses |        11       |
|            'întîmplările'           |            'întâmplările'           |              replace_words              | verses |        10       |
|               'cîntau'              |               'cântau'              |              replace_words              | verses |        10       |
|              'tînărul'              |              'tânărul'              |              replace_words              | verses |        10       |
|              'scîndură'             |              'scândură'             |              replace_words              | verses |        10       |
|                'urît'               |                'urât'               |              replace_words              | verses |        9        |
|              'Sfîntul'              |              'Sfântul'              |              replace_words              | verses |        9        |
|              'întîmple'             |              'întâmple'             |              replace_words              | verses |        9        |
|                'vînt'               |                'vânt'               |              replace_words              | verses |        9        |
|               'vîrstă'              |               'vârstă'              |              replace_words              | verses |        9        |
|              'scînduri'             |              'scânduri'             |              replace_words              | verses |        9        |
|              'mîntuire'             |              'mântuire'             |              replace_words              | verses |        9        |
|               'sîrmă'               |               'sârmă'               |              replace_words              | verses |        9        |
|               'gîndi'               |               'gândi'               |              replace_words              | verses |        9        |
|              'întrucît'             |              'întrucât'             |              replace_words              | verses |        9        |
|               'osînda'              |               'osânda'              |              replace_words              | verses |        9        |
|               'cînta'               |               'cânta'               |              replace_words              | verses |        9        |
|              'flămînd'              |              'flămând'              |              replace_words              | verses |        9        |
|              'mănîncă'              |              'mănâncă'              |              replace_words              | verses |        9        |
|              'strigînd'             |              'strigând'             |              replace_words              | verses |        8        |
|            'mîntuitoare'            |            'mântuitoare'            |              replace_words              | verses |        8        |
|             'întorcîndu'            |             'întorcându'            |              replace_words              | verses |        8        |
|                'pîn'                |                'pân'                |              replace_words              | verses |        8        |
|              'mănînce'              |              'mănânce'              |              replace_words              | verses |        8        |
|               'Oricît'              |               'Oricât'              |              replace_words              | verses |        8        |
