+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |                  Regulă                 |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+-----------------------------------------+--------+-----------------+
|                 'T-'                |                  ''                 |          remove_invalid_verses          | verses |       857       |
|                'cînd'               |                'când'               |              replace_words              | verses |       660       |
|                'pînă'               |                'până'               |              replace_words              | verses |       535       |
|                'cît'                |                'cât'                |              replace_words              | verses |       415       |
|                'atît'               |                'atât'               |              replace_words              | verses |       334       |
|                'sînt'               |                'sunt'               |              replace_words              | verses |       312       |
|               'decît'               |               'decât'               |              replace_words              | verses |       262       |
|                 ' '                 |                  ''                 |               strip_spaces              | verses |       249       |
|                 ' '                 |                 ' '                 |               replace_nbsp              | verses |       249       |
|                'cîte'               |                'câte'               |              replace_words              | verses |       231       |
|                'Cînd'               |                'Când'               |              replace_words              | verses |       194       |
|               'lîngă'               |               'lângă'               |              replace_words              | verses |       187       |
|               'cîteva'              |               'câteva'              |              replace_words              | verses |       129       |
|               'atîta'               |               'atâta'               |              replace_words              | verses |        93       |
|               'încît'               |               'încât'               |              replace_words              | verses |        92       |
|               'tîrziu'              |               'târziu'              |              replace_words              | verses |        82       |
|               'curînd'              |               'curând'              |              replace_words              | verses |        78       |
|              'mîinile'              |              'mâinile'              |              replace_words              | verses |        75       |
|               'pămînt'              |               'pământ'              |              replace_words              | verses |        73       |
|               'sîntem'              |               'suntem'              |              replace_words              | verses |        68       |
|                'rînd'               |                'rând'               |              replace_words              | verses |        62       |
|               'Sfînt'               |               'Sfânt'               |              replace_words              | verses |        62       |
|              'Cuvîntul'             |              'Cuvântul'             |              replace_words              | verses |        57       |
|               'atîtea'              |               'atâtea'              |              replace_words              | verses |        56       |
|                'mîna'               |                'mâna'               |              replace_words              | verses |        56       |
|              'mîncare'              |              'mâncare'              |              replace_words              | verses |        53       |
|               'întîi'               |               'întâi'               |              replace_words              | verses |        51       |
|                'Pînă'               |                'Până'               |              replace_words              | verses |        51       |
|                'mînă'               |                'mână'               |              replace_words              | verses |        50       |
|              'sfîrşit'              |              'sfârşit'              |              replace_words              | verses |        48       |
|              'amîndoi'              |              'amândoi'              |              replace_words              | verses |        43       |
|               'sfînt'               |               'sfânt'               |              replace_words              | verses |        41       |
|            'Mîntuitorul'            |            'Mântuitorul'            |              replace_words              | verses |        41       |
|                'cîtă'               |                'câtă'               |              replace_words              | verses |        41       |
|                'Sînt'               |                'Sunt'               |              replace_words              | verses |        39       |
|               'cîţiva'              |               'câţiva'              |              replace_words              | verses |        39       |
|               'adînc'               |               'adânc'               |              replace_words              | verses |        39       |
|               'cuvînt'              |               'cuvânt'              |              replace_words              | verses |        38       |
|               'mîine'               |               'mâine'               |              replace_words              | verses |        37       |
|             'săptămîni'             |             'săptămâni'             |              replace_words              | verses |        36       |
|             'mîntuirea'             |             'mântuirea'             |              replace_words              | verses |        35       |
|               'sfîntă'              |               'sfântă'              |              replace_words              | verses |        35       |
|              'hotărît'              |              'hotărât'              |              replace_words              | verses |        34       |
|              'rînduri'              |              'rânduri'              |              replace_words              | verses |        34       |
|               'mîini'               |               'mâini'               |              replace_words              | verses |        34       |
|               'pîine'               |               'pâine'               |              replace_words              | verses |        33       |
|             'săptămînă'             |             'săptămână'             |              replace_words              | verses |        33       |
