+-------------------------------------+-------------------------------------+------------------------------+--------+-----------------+
|            Cuvânt inițial           |          Cuvânt înlocuitor          |            Regulă            |  Câmp  | Număr procesări |
+-------------------------------------+-------------------------------------+------------------------------+--------+-----------------+
|                'cînd'               |                'când'               |        replace_words         | verses |        61       |
|                'sînt'               |                'sunt'               |        replace_words         | verses |        49       |
|                'pînă'               |                'până'               |        replace_words         | verses |        44       |
|             'mîntuirii'             |             'mântuirii'             |        replace_words         | verses |        37       |
|               'decît'               |               'decât'               |        replace_words         | verses |        33       |
|              'Sîngele'              |              'Sângele'              |        replace_words         | verses |        32       |
|                'Cînd'               |                'Când'               |        replace_words         | verses |        26       |
|               'lîngă'               |               'lângă'               |        replace_words         | verses |        24       |
|               'sîntem'              |               'suntem'              |        replace_words         | verses |        22       |
|             'mîntuirea'             |             'mântuirea'             |        replace_words         | verses |        20       |
|              'mîncare'              |              'mâncare'              |        replace_words         | verses |        20       |
|            'Mîntuitorul'            |            'Mântuitorul'            |        replace_words         | verses |        18       |
|               'întîi'               |               'întâi'               |        replace_words         | verses |        18       |
|              'mîntuire'             |              'mântuire'             |        replace_words         | verses |        16       |
|             'Mîntuitor'             |             'Mântuitor'             |        replace_words         | verses |        16       |
|                'cît'                |                'cât'                |        replace_words         | verses |        15       |
|               'sfîntă'              |               'sfântă'              |        replace_words         | verses |        14       |
|                'atît'               |                'atât'               |        replace_words         | verses |        13       |
|               'pămînt'              |               'pământ'              |        replace_words         | verses |        13       |
|               'pîine'               |               'pâine'               |        replace_words         | verses |        13       |
|               'adînc'               |               'adânc'               |        replace_words         | verses |        12       |
|                'cîte'               |                'câte'               |        replace_words         | verses |        11       |
|           'Mîntuitorului'           |           'Mântuitorului'           |        replace_words         | verses |        11       |
|                'mînă'               |                'mână'               |        replace_words         | verses |        10       |
|              'cîntarea'             |              'cântarea'             |        replace_words         | verses |        10       |
|              'mîncarea'             |              'mâncarea'             |        replace_words         | verses |        10       |
|               'stîncă'              |               'stâncă'              |        replace_words         | verses |        9        |
